id_contrato,data_originacao,valor_bem,valor_entrada,valor_financiado,ltv,prazo_meses,taxa_juros_am,parcela_mensal,comprometimento_renda,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m,default_90_12,mes_default,ead_realizado,lgd_realizado,perda_financeira
C000022,2024-10-01,22000.0,6758.4,15241.6,0.6928,36,0.01495,550.56,0.2067,Concessionária,2020,2,52,CLT,2664.03,36.0,Alugada,627.0,0,2,Não,0,0,,,,0.0
C000023,2023-10-01,39500.0,11707.8,27792.2,0.7036,36,0.01605,1022.41,0.2643,Digital,2013,9,23,Servidor público,3869.09,,Familiar,,1,1,Não,0,0,,,,0.0
C000024,2023-11-01,28000.0,8657.6,19342.4,0.6908,36,0.01605,711.56,0.2155,Revenda multimarca,2019,3,26,Empresário,3301.92,37.0,Própria,657.0,0,2,Sim,0,0,,,,0.0
C000025,2022-06-01,23100.0,4453.68,18646.32,0.8072,48,0.01567,555.6,0.2713,Digital,2016,6,32,CLT,2047.59,,Alugada,561.0,0,0,Não,4,0,,,,0.0
C000026,2023-09-01,22000.0,5185.4,16814.6,0.7643,60,0.01566,434.26,0.2714,Concessionária,2018,4,25,Autônomo,1600.0,22.0,Financiada,613.0,0,1,Não,7,1,7.0,17417.38,0.7386,12864.95
C000027,2024-08-01,31300.0,16933.3,14366.7,0.459,60,0.01724,386.15,0.1827,Revenda multimarca,2018,4,34,Autônomo,2113.46,17.0,Própria,615.0,2,1,Não,0,0,,,,0.0
C000028,2023-03-01,22800.0,12252.72,10547.28,0.4626,48,0.01727,325.04,0.1063,Digital,2021,1,28,Autônomo,3058.07,,Financiada,754.0,0,2,Não,0,0,,,,0.0
C000029,2024-09-01,34200.0,8296.92,25903.08,0.7574,48,0.01589,775.43,0.1447,Concessionária,2021,1,31,Empresário,5359.58,75.0,Alugada,712.0,2,1,Não,0,0,,,,0.0
C000030,2024-10-01,41700.0,8031.42,33668.58,0.8074,24,0.0151,1682.83,0.1087,Digital,2013,9,51,CLT,15477.0,3.0,Própria,902.0,0,1,Não,0,0,,,,0.0
C000031,2024-07-01,158500.0,70992.15,87507.85,0.5521,48,0.01618,2635.74,0.1444,Digital,2021,1,67,Empresário,18251.9,33.0,Familiar,959.0,0,0,Não,0,0,,,,0.0
C000032,2023-01-01,51100.0,16060.73,35039.27,0.6857,48,0.01624,1056.72,0.1801,Correspondente bancário,2016,6,54,Servidor público,5868.81,83.0,Própria,553.0,2,1,Sim,2,0,,,,0.0
C000033,2023-09-01,46200.0,7359.66,38840.34,0.8407,60,0.01746,1049.71,0.3995,Revenda multimarca,2019,3,42,CLT,2627.8,16.0,Própria,621.0,1,2,Sim,0,0,,,,0.0
C000034,2022-02-01,44100.0,27619.83,16480.17,0.3737,36,0.01607,606.47,0.379,Concessionária,2010,12,50,CLT,1600.0,145.0,Alugada,488.0,1,2,Não,0,0,,,,0.0
C000035,2023-02-01,26300.0,9402.25,16897.75,0.6425,24,0.01552,848.71,0.2222,Correspondente bancário,2019,3,45,Empresário,3819.8,23.0,Alugada,503.0,1,3,Não,6,1,4.0,18857.42,0.7168,13516.81
C000036,2024-01-01,100400.0,23232.56,77167.44,0.7686,60,0.01831,2130.05,0.2606,Revenda multimarca,2015,7,41,Empresário,8174.09,134.0,Própria,607.0,1,1,Não,1,0,,,,0.0
C000037,2022-12-01,80000.0,39360.0,40640.0,0.508,60,0.01587,1055.21,0.0897,Digital,2019,3,45,Autônomo,11770.0,,Alugada,812.0,0,1,Não,0,0,,,,0.0
C000038,2024-11-01,26900.0,3418.99,23481.01,0.8729,24,0.01474,1168.73,0.2736,Digital,2013,9,42,Servidor público,4271.61,158.0,Própria,625.0,0,0,Não,0,0,,,,0.0
C000039,2023-03-01,103600.0,17777.76,85822.24,0.8284,48,0.01352,2442.08,0.2252,Concessionária,2020,2,62,CLT,10846.19,54.0,Financiada,603.0,1,3,Não,0,0,,,,0.0
C000040,2022-09-01,32300.0,5891.52,26408.48,0.8176,48,0.01751,817.93,0.1584,Revenda multimarca,2021,1,35,Autônomo,5163.37,3.0,Alugada,701.0,0,1,Não,0,0,,,,0.0
C000041,2022-12-01,39600.0,10236.6,29363.4,0.7415,60,0.01661,776.84,0.2982,Correspondente bancário,2016,6,26,CLT,2604.93,93.0,Familiar,672.0,1,2,Não,1,0,,,,0.0
C000042,2022-06-01,55700.0,21071.31,34628.69,0.6217,24,0.01374,1703.61,0.1576,Digital,2011,11,25,CLT,10809.61,84.0,Própria,,1,1,Não,1,0,,,,0.0
C000043,2024-01-01,26100.0,3604.41,22495.59,0.8619,36,0.01652,834.0,0.2617,Revenda multimarca,2015,7,30,CLT,3187.46,,Própria,596.0,0,2,Não,0,0,,,,0.0
C000044,2022-08-01,27400.0,5206.0,22194.0,0.81,48,0.01674,676.41,0.2231,Correspondente bancário,2021,1,51,CLT,3031.68,23.0,Alugada,829.0,1,0,Sim,0,0,,,,0.0
C000045,2024-01-01,30000.0,14226.0,15774.0,0.5258,24,0.01461,783.94,0.2232,Concessionária,2014,8,29,CLT,3511.55,23.0,Familiar,644.0,2,4,Não,0,0,,,,0.0
C000046,2023-10-01,60900.0,5286.12,55613.88,0.9132,48,0.01724,1712.8,0.2095,Correspondente bancário,2019,3,47,CLT,,65.0,Própria,837.0,0,5,Não,0,0,,,,0.0
C000047,2022-04-01,27100.0,2566.37,24533.63,0.9053,24,0.01256,1190.39,0.316,Concessionária,2014,8,43,Autônomo,3767.0,15.0,Familiar,666.0,0,0,Não,0,0,,,,0.0
C000048,2024-01-01,37900.0,14610.45,23289.55,0.6145,36,0.01647,862.73,0.3849,Revenda multimarca,2010,12,26,CLT,2241.45,19.0,Financiada,577.0,1,1,Sim,0,0,,,,0.0
C000049,2022-08-01,61700.0,22964.74,38735.26,0.6278,36,0.01652,1436.07,0.3034,Revenda multimarca,2019,3,36,CLT,4733.53,90.0,Alugada,558.0,0,0,Não,0,0,,,,0.0
C000050,2022-03-01,29600.0,7234.24,22365.76,0.7556,60,0.01508,569.11,0.0678,Correspondente bancário,2015,7,50,Empresário,8398.88,69.0,Alugada,705.0,1,0,Não,2,0,,,,0.0
C000051,2022-02-01,93600.0,19534.32,74065.68,0.7913,24,0.01392,3651.45,0.1813,Digital,2017,5,34,CLT,20137.95,83.0,Familiar,805.0,0,0,Não,0,0,,,,0.0
C000052,2023-08-01,26300.0,3966.04,22333.96,0.8492,48,0.01649,677.11,0.4232,Correspondente bancário,2019,3,26,Autônomo,,41.0,Própria,758.0,0,0,Não,6,1,3.0,24365.29,0.8256,20114.94
C000053,2022-03-01,22000.0,2081.2,19918.8,0.9054,48,0.01775,620.02,0.3875,Correspondente bancário,2018,4,33,CLT,1600.0,31.0,Financiada,551.0,1,2,Não,2,0,,,,0.0
C000054,2022-06-01,27400.0,10151.7,17248.3,0.6295,36,0.01565,630.34,0.3317,Concessionária,2015,7,36,CLT,1900.56,8.0,Alugada,559.0,0,4,Sim,0,0,,,,0.0
C000055,2022-07-01,55100.0,6154.67,48945.33,0.8883,48,0.01711,1503.33,0.4069,Correspondente bancário,2018,4,43,CLT,3694.47,25.0,Própria,543.0,1,0,Não,0,0,,,,0.0
C000056,2024-10-01,43000.0,14740.4,28259.6,0.6572,60,0.01568,730.21,0.0665,Concessionária,2020,2,42,CLT,10985.16,,Alugada,646.0,0,5,Não,0,0,,,,0.0
C000057,2023-05-01,45600.0,7250.4,38349.6,0.841,36,0.01548,1397.54,0.3943,Revenda multimarca,2018,4,29,CLT,3544.3,24.0,Alugada,475.0,0,3,Sim,0,0,,,,0.0
C000058,2023-09-01,47200.0,6730.72,40469.28,0.8574,60,0.01689,1078.23,0.1425,Digital,2019,3,45,CLT,7565.05,30.0,Financiada,784.0,0,4,Não,0,0,,,,0.0
C000059,2023-11-01,49100.0,19094.99,30005.01,0.6111,36,0.01455,1076.64,0.0567,Concessionária,2020,2,30,Servidor público,19002.28,,Familiar,,2,0,Sim,0,0,,,,0.0
C000060,2024-09-01,28700.0,6776.07,21923.93,0.7639,60,0.01606,572.01,0.2479,Digital,2014,8,36,CLT,2307.31,66.0,Própria,725.0,0,0,Não,1,0,,,,0.0
C000061,2022-03-01,59200.0,13302.24,45897.76,0.7753,36,0.01632,1696.01,0.4446,Revenda multimarca,2015,7,31,CLT,3814.96,18.0,Alugada,480.0,1,0,Não,0,0,,,,0.0
C000062,2024-01-01,28600.0,7945.08,20654.92,0.7222,60,0.01562,532.89,0.3207,Concessionária,2016,6,33,CLT,1661.63,7.0,Alugada,597.0,1,2,Não,0,0,,,,0.0
C000063,2023-07-01,40600.0,10219.02,30380.98,0.7483,36,0.01594,1115.61,0.2309,Concessionária,2017,5,30,Autônomo,4832.56,47.0,Alugada,597.0,0,0,Não,1,0,,,,0.0
C000064,2022-11-01,32500.0,13689.0,18811.0,0.5788,60,0.01816,517.32,0.105,Revenda multimarca,2018,4,40,Autônomo,4928.84,13.0,Alugada,553.0,1,2,Não,3,0,,,,0.0
C000065,2023-08-01,22800.0,6135.48,16664.52,0.7309,36,0.01433,595.76,0.2777,Concessionária,2016,6,42,Autônomo,2145.38,,Familiar,732.0,1,2,Não,0,0,,,,0.0
C000066,2022-08-01,39400.0,2789.52,36610.48,0.9292,24,0.01459,1819.05,0.4011,Concessionária,2019,3,31,CLT,4534.94,14.0,Familiar,628.0,0,1,Não,0,0,,,,0.0
C000067,2023-04-01,45900.0,27999.0,17901.0,0.39,48,0.0151,526.97,0.0997,Concessionária,2020,2,27,CLT,5285.31,30.0,Própria,768.0,0,1,Não,0,0,,,,0.0
C000068,2022-03-01,30100.0,10504.9,19595.1,0.651,24,0.01478,975.77,0.2472,Revenda multimarca,2016,6,32,CLT,3947.53,68.0,Própria,610.0,2,0,Não,0,0,,,,0.0
C000069,2023-08-01,28400.0,4095.28,24304.72,0.8558,60,0.01639,639.44,0.2277,Digital,2021,1,49,CLT,2808.3,34.0,Própria,640.0,2,2,Não,0,0,,,,0.0
C000070,2022-06-01,25000.0,2090.0,22910.0,0.9164,60,0.01519,584.61,0.3654,Digital,2019,3,23,CLT,1600.0,60.0,Familiar,496.0,0,3,Sim,0,0,,,,0.0
C000071,2024-08-01,60800.0,18683.84,42116.16,0.6927,36,0.01598,1547.56,0.2202,Digital,2019,3,27,CLT,7028.44,21.0,Alugada,704.0,0,1,Sim,1,0,,,,0.0
C000072,2024-07-01,36400.0,6803.16,29596.84,0.8131,48,0.01548,878.34,0.145,Concessionária,2017,5,47,Servidor público,6057.54,26.0,Alugada,589.0,1,1,Não,0,0,,,,0.0
C000073,2022-03-01,60800.0,10159.68,50640.32,0.8329,24,0.01406,2500.66,0.1418,Concessionária,2021,1,40,Empresário,17630.55,82.0,Alugada,611.0,1,0,Não,2,0,,,,0.0
C000074,2023-03-01,38600.0,17377.72,21222.28,0.5498,36,0.01542,772.61,0.0862,Correspondente bancário,2021,1,57,CLT,8967.75,71.0,Própria,810.0,1,4,Não,2,0,,,,0.0
C000075,2023-09-01,87200.0,52154.32,35045.68,0.4019,36,0.01567,1281.16,0.0475,Concessionária,2020,2,48,Servidor público,26958.21,151.0,Alugada,552.0,2,1,Não,0,0,,,,0.0
C000076,2022-05-01,30200.0,3439.78,26760.22,0.8861,48,0.01692,818.66,0.2042,Revenda multimarca,2016,6,29,Autônomo,4008.63,32.0,Familiar,481.0,2,1,Não,8,1,10.0,26521.31,0.839,22252.4
C000077,2022-01-01,80000.0,39976.0,40024.0,0.5003,48,0.01543,1186.52,0.148,Digital,2018,4,28,CLT,,27.0,Alugada,,1,2,Não,0,0,,,,0.0
C000078,2023-01-01,37100.0,3598.7,33501.3,0.903,48,0.01672,1020.6,0.2587,Revenda multimarca,2019,3,40,Autônomo,3944.94,12.0,Própria,491.0,1,2,Não,0,0,,,,0.0
C000079,2023-07-01,30900.0,5089.23,25810.77,0.8353,36,0.01359,911.36,0.1452,Digital,2020,2,43,Autônomo,6276.18,6.0,Alugada,858.0,0,1,Não,0,0,,,,0.0
C000080,2024-11-01,22700.0,4789.7,17910.3,0.789,48,0.01402,515.17,0.322,Concessionária,2016,6,36,CLT,1600.0,20.0,Própria,602.0,2,1,Não,0,0,,,,0.0
C000081,2023-05-01,54300.0,10121.52,44178.48,0.8136,60,0.01799,1209.84,0.223,Revenda multimarca,2021,1,62,CLT,5426.23,150.0,Própria,489.0,2,0,Não,0,0,,,,0.0
C000082,2022-09-01,22000.0,4961.0,17039.0,0.7745,60,0.01714,456.83,0.1549,Correspondente bancário,2016,6,53,CLT,2948.4,58.0,Própria,625.0,2,2,Não,0,0,,,,0.0
C000083,2022-02-01,49200.0,11537.4,37662.6,0.7655,24,0.01596,1901.3,0.1562,Correspondente bancário,2019,3,61,Servidor público,12168.6,74.0,Própria,712.0,0,2,Não,0,0,,,,0.0
C000084,2024-09-01,117500.0,34239.5,83260.5,0.7086,24,0.01396,4106.67,0.4188,Concessionária,2021,1,31,CLT,9806.77,49.0,Familiar,,0,1,Não,1,0,,,,0.0
C000085,2022-12-01,56500.0,23136.75,33363.25,0.5905,24,0.01486,1662.92,0.2259,Digital,2019,3,32,CLT,7361.88,18.0,Financiada,873.0,0,1,Não,0,0,,,,0.0
C000086,2023-05-01,43100.0,3887.62,39212.38,0.9098,60,0.01778,1068.25,0.1546,Revenda multimarca,2021,1,36,CLT,6908.04,48.0,Alugada,491.0,1,1,Não,0,0,,,,0.0
C000087,2024-12-01,35500.0,4881.25,30618.75,0.8625,36,0.01815,1165.86,0.1102,Revenda multimarca,2021,1,26,CLT,10575.42,9.0,Alugada,644.0,0,1,Não,0,0,,,,0.0
C000088,2023-01-01,22000.0,5559.4,16440.6,0.7473,60,0.01616,430.03,0.1435,Concessionária,2015,7,40,CLT,2996.26,70.0,Familiar,748.0,0,1,Não,0,0,,,,0.0
C000089,2022-01-01,52600.0,8226.64,44373.36,0.8436,48,0.01691,1357.21,0.2385,Revenda multimarca,2017,5,29,Autônomo,5691.15,81.0,Própria,560.0,1,5,Não,0,0,,,,0.0
C000090,2022-07-01,22000.0,3432.0,18568.0,0.844,48,0.01482,543.34,0.2108,Concessionária,2019,3,33,CLT,2578.03,29.0,Própria,499.0,2,3,Não,1,0,,,,0.0
C000091,2023-10-01,26800.0,7903.32,18896.68,0.7051,48,0.01644,572.3,0.1303,Digital,2015,7,34,CLT,4392.24,43.0,Familiar,602.0,0,4,Não,0,0,,,,0.0
C000092,2023-10-01,45200.0,6102.0,39098.0,0.865,36,0.01508,1415.37,0.4071,Digital,2016,6,52,CLT,3476.6,48.0,Alugada,468.0,2,4,Não,0,0,,,,0.0
C000093,2024-03-01,41000.0,11853.1,29146.9,0.7109,60,0.01674,773.64,0.2593,Concessionária,2018,4,37,CLT,2984.09,54.0,Alugada,518.0,1,1,Não,1,0,,,,0.0
C000094,2024-09-01,22000.0,3449.6,18550.4,0.8432,36,0.01474,667.74,0.3014,Concessionária,2017,5,40,Autônomo,2215.1,2.0,Financiada,479.0,1,0,Não,0,0,,,,0.0
C000095,2024-06-01,39700.0,7693.86,32006.14,0.8062,60,0.01791,874.76,0.2891,Correspondente bancário,2010,12,47,Autônomo,3026.25,45.0,Financiada,461.0,0,2,Sim,4,0,,,,0.0
C000096,2023-01-01,32700.0,8933.64,23766.36,0.7268,48,0.01512,699.93,0.0745,Concessionária,2020,2,25,CLT,9399.54,84.0,Alugada,889.0,0,1,Não,1,0,,,,0.0
C000097,2022-06-01,24600.0,8184.42,16415.58,0.6673,60,0.01456,412.15,0.1374,Concessionária,2021,1,31,CLT,2998.88,34.0,Familiar,526.0,0,0,Sim,4,0,,,,0.0
C000098,2024-04-01,26200.0,2868.9,23331.1,0.8905,48,0.01627,704.07,0.3103,Revenda multimarca,2017,5,34,CLT,2268.86,130.0,Própria,527.0,1,3,Não,4,0,,,,0.0
C000099,2023-09-01,56500.0,21034.95,35465.05,0.6277,48,0.01694,1085.42,0.1146,Revenda multimarca,2010,12,68,Empresário,9472.77,22.0,Financiada,579.0,1,2,Não,0,0,,,,0.0
C000100,2022-08-01,32000.0,13334.4,18665.6,0.5833,36,0.01324,655.2,0.2664,Concessionária,2018,4,43,CLT,2459.55,6.0,Familiar,537.0,0,1,Não,1,0,,,,0.0
C000101,2022-11-01,77300.0,6918.35,70381.65,0.9105,48,0.01737,2173.52,0.3408,Digital,2016,6,32,CLT,6378.08,71.0,Alugada,530.0,1,1,Não,1,0,,,,0.0
C000102,2024-10-01,33400.0,7792.22,25607.78,0.7667,36,0.0168,953.77,0.1781,Revenda multimarca,2019,3,36,CLT,,73.0,Própria,670.0,0,0,Não,0,0,,,,0.0
C000103,2023-10-01,43600.0,13276.2,30323.8,0.6955,60,0.01553,780.56,0.3539,Concessionária,2020,2,30,Autônomo,2205.66,54.0,Própria,557.0,0,1,Não,3,1,12.0,29699.3,0.6041,17941.55
C000104,2022-07-01,43300.0,2377.17,40922.83,0.9451,60,0.01592,1063.9,0.4054,Digital,2015,7,34,Autônomo,2624.38,,Financiada,531.0,1,0,Não,12,1,6.0,42857.5,0.7773,33311.58
C000105,2024-06-01,28600.0,10275.98,18324.02,0.6407,48,0.01545,543.45,0.1644,Concessionária,2015,7,32,CLT,3305.88,47.0,Financiada,661.0,0,1,Não,0,0,,,,0.0
C000106,2024-05-01,22000.0,5152.4,16847.6,0.7658,36,0.01487,607.76,0.3798,Concessionária,2017,5,29,CLT,1600.0,55.0,Alugada,497.0,2,1,Não,0,0,,,,0.0
C000107,2023-07-01,46400.0,3596.0,42804.0,0.9225,48,0.0163,1292.53,0.1141,Correspondente bancário,2020,2,35,Autônomo,11326.63,34.0,Própria,728.0,0,1,Não,0,0,,,,0.0
C000108,2022-04-01,24700.0,5762.51,18937.49,0.7667,48,0.01389,543.19,0.2417,Concessionária,2018,4,27,Autônomo,2247.7,94.0,Alugada,626.0,1,1,Não,0,0,,,,0.0
C000109,2024-11-01,68200.0,21462.54,46737.46,0.6853,48,0.01571,1393.81,0.139,Correspondente bancário,2021,1,27,Servidor público,10029.2,58.0,Própria,810.0,0,2,Não,3,0,,,,0.0
C000110,2023-01-01,31800.0,10382.7,21417.3,0.6735,36,0.0149,773.0,0.1389,Concessionária,2016,6,53,CLT,5564.85,140.0,Financiada,720.0,0,2,Não,0,0,,,,0.0
C000111,2024-01-01,22700.0,2444.79,20255.21,0.8923,36,0.01442,725.22,0.3258,Concessionária,2019,3,25,CLT,2225.89,65.0,Própria,684.0,0,0,Não,0,0,,,,0.0
C000112,2024-01-01,32800.0,5949.92,26850.08,0.8186,60,0.01697,716.81,0.2136,Digital,2018,4,30,CLT,3356.0,29.0,Financiada,510.0,2,3,Sim,0,0,,,,0.0
C000113,2024-11-01,100600.0,42855.6,57744.4,0.574,48,0.01662,1755.46,0.2937,Correspondente bancário,2021,1,33,Autônomo,5976.12,18.0,Familiar,780.0,0,0,Não,0,0,,,,0.0
C000114,2024-05-01,27000.0,1728.0,25272.0,0.936,60,0.01711,677.06,0.188,Revenda multimarca,2014,8,37,CLT,3601.97,16.0,Alugada,576.0,2,2,Não,1,0,,,,0.0
C000115,2024-11-01,58800.0,14829.36,43970.64,0.7478,36,0.01358,1552.31,0.1284,Digital,2020,2,56,Servidor público,12093.03,67.0,Alugada,703.0,0,0,Não,0,0,,,,0.0
C000116,2022-08-01,46200.0,9355.5,36844.5,0.7975,24,0.01344,1806.28,0.2517,Concessionária,2015,7,38,Autônomo,7176.0,68.0,Familiar,766.0,0,0,Não,0,0,,,,0.0
C000117,2023-01-01,43300.0,3394.72,39905.28,0.9216,60,0.01689,1063.21,0.3789,Revenda multimarca,2018,4,27,Autônomo,2806.16,32.0,Própria,472.0,0,2,Não,0,0,,,,0.0
C000118,2024-09-01,24300.0,12324.96,11975.04,0.4928,48,0.01716,368.19,0.0807,Revenda multimarca,2021,1,31,Empresário,4561.49,15.0,Financiada,467.0,2,1,Sim,4,1,5.0,12751.42,0.277,3531.56
C000119,2022-06-01,37800.0,8962.38,28837.62,0.7629,36,0.01516,1045.33,0.2076,Digital,2020,2,63,Aposentado,5034.89,105.0,Própria,895.0,0,3,Não,12,1,10.0,27517.98,0.6281,17283.37
C000120,2022-05-01,33200.0,1796.12,31403.88,0.9459,48,0.01475,917.57,0.2297,Concessionária,2018,4,75,Aposentado,3995.31,326.0,Alugada,588.0,1,1,Sim,0,0,,,,0.0
C000121,2022-08-01,86700.0,10239.27,76460.73,0.8819,48,0.01718,2351.9,0.2369,Correspondente bancário,2016,6,75,Empresário,9929.24,,Alugada,565.0,1,2,Não,0,0,,,,0.0
C000122,2023-05-01,42600.0,8213.28,34386.72,0.8072,48,0.01768,1068.81,0.2002,Revenda multimarca,2010,12,35,Autônomo,5338.33,66.0,Própria,684.0,0,0,Não,0,0,,,,0.0
C000123,2024-02-01,62700.0,5103.78,57596.22,0.9186,48,0.01696,1763.49,0.167,Digital,2022,0,28,Empresário,10558.16,27.0,Financiada,701.0,0,1,Não,0,0,,,,0.0
C000124,2024-04-01,86900.0,11896.61,75003.39,0.8631,48,0.0154,2222.08,0.2337,Concessionária,2018,4,25,Empresário,9508.81,64.0,Financiada,730.0,0,2,Não,0,0,,,,0.0
C000125,2024-05-01,95900.0,25691.61,70208.39,0.7321,60,0.01645,1849.95,0.194,Concessionária,2021,1,22,CLT,9536.5,22.0,Própria,742.0,0,1,Não,6,1,3.0,75758.24,0.5413,41011.02
C000126,2023-07-01,24000.0,3650.4,20349.6,0.8479,48,0.01578,607.77,0.1326,Correspondente bancário,2020,2,67,Aposentado,4582.72,14.0,Financiada,492.0,1,1,Não,1,1,3.0,22172.91,0.88,19512.16
C000127,2023-05-01,22000.0,1634.6,20365.4,0.9257,48,0.01524,601.3,0.2713,Digital,2019,3,31,CLT,2216.54,72.0,Alugada,516.0,1,2,Sim,0,0,,,,0.0
C000128,2023-06-01,37900.0,15137.26,22762.74,0.6006,60,0.01866,633.77,0.0507,Revenda multimarca,2021,1,24,Empresário,12511.51,52.0,Familiar,527.0,1,2,Não,0,0,,,,0.0
C000129,2024-07-01,42100.0,9468.29,32631.71,0.7751,60,0.01745,881.7,0.0379,Correspondente bancário,2019,3,36,Empresário,23259.19,,Própria,473.0,1,3,Sim,0,0,,,,0.0
C000130,2023-12-01,42000.0,9525.6,32474.4,0.7732,60,0.01617,849.64,0.0587,Correspondente bancário,2020,2,25,CLT,14479.57,84.0,Alugada,,1,1,Não,2,1,9.0,32995.72,0.88,29036.23
C000131,2024-12-01,22600.0,1853.2,20746.8,0.918,60,0.01461,521.56,0.1524,Concessionária,2017,5,36,CLT,3421.48,7.0,Própria,711.0,0,1,Não,1,0,,,,0.0
C000132,2023-02-01,47300.0,6347.66,40952.34,0.8658,36,0.01369,1448.43,0.2997,Concessionária,2017,5,41,CLT,4833.03,82.0,Própria,656.0,1,0,Não,0,0,,,,0.0
