id_contrato,data_originacao,valor_bem,valor_entrada,valor_financiado,ltv,prazo_meses,taxa_juros_am,parcela_mensal,comprometimento_renda,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
T000044,2025-03-01,32400.0,1765.8,30634.2,0.9455,24,0.01494,1528.32,0.1859,Concessionária,2021,4,39,Servidor público,8223.06,130.0,Alugada,503.0,1,2,Não,0
T000045,2025-06-01,24800.0,5029.44,19770.56,0.7972,48,0.01818,620.92,0.1214,Correspondente bancário,2023,2,23,CLT,5113.04,40.0,Familiar,875.0,0,1,Não,0
T000046,2025-01-01,105700.0,33316.64,72383.36,0.6848,60,0.01617,1893.79,0.1542,Digital,2019,6,53,CLT,12285.34,,Própria,567.0,1,5,Não,0
T000047,2025-04-01,34800.0,4050.72,30749.28,0.8836,48,0.01592,921.1,0.4191,Revenda multimarca,2022,3,53,Aposentado,,,Financiada,,0,3,Não,0
T000048,2025-02-01,27100.0,6222.16,20877.84,0.7704,48,0.01547,619.46,0.248,Correspondente bancário,2024,1,60,CLT,2497.7,130.0,Familiar,683.0,0,4,Não,0
T000049,2025-02-01,23700.0,2756.31,20943.69,0.8837,60,0.01613,547.4,0.2284,Concessionária,2017,8,36,Autônomo,2397.14,29.0,Própria,528.0,1,3,Sim,0
T000050,2025-02-01,46000.0,3454.6,42545.4,0.9249,48,0.01618,1281.47,0.156,Revenda multimarca,2019,6,61,Autônomo,8212.61,54.0,Alugada,609.0,1,2,Não,0
T000051,2025-02-01,87500.0,30292.5,57207.5,0.6538,36,0.01336,2012.15,0.1998,Concessionária,2021,4,45,CLT,10070.48,53.0,Familiar,760.0,0,1,Não,0
T000052,2025-03-01,104300.0,22341.06,81958.94,0.7858,24,0.01621,4149.46,0.4085,Correspondente bancário,2024,1,46,Autônomo,10158.36,56.0,Alugada,658.0,2,5,Não,0
T000053,2025-06-01,57300.0,17780.19,39519.81,0.6897,24,0.01677,2013.79,0.3066,Revenda multimarca,2018,7,34,CLT,6568.46,,Própria,715.0,0,1,Sim,0
T000054,2025-01-01,94000.0,36697.6,57302.4,0.6096,60,0.01688,1526.34,0.1923,Digital,2023,2,31,CLT,7936.65,139.0,Financiada,966.0,0,1,Não,0
T000055,2025-02-01,99800.0,33003.86,66796.14,0.6693,48,0.01517,1969.26,0.2556,Concessionária,2023,2,52,Aposentado,7705.8,158.0,Financiada,798.0,0,1,Não,0
T000056,2025-01-01,55700.0,9691.8,46008.2,0.826,48,0.01677,1403.09,0.408,Revenda multimarca,2023,2,57,CLT,3439.3,,Alugada,472.0,0,4,Não,0
T000057,2025-02-01,58000.0,11014.2,46985.8,0.8101,36,0.01632,1736.22,0.2582,Concessionária,2022,3,71,Servidor público,6724.39,49.0,Alugada,558.0,0,0,Sim,0
T000058,2025-06-01,47400.0,25937.28,21462.72,0.4528,60,0.01725,577.02,0.1429,Revenda multimarca,2020,5,47,CLT,4037.65,,Própria,493.0,1,1,Não,0
T000059,2025-02-01,37100.0,12135.41,24964.59,0.6729,36,0.01729,937.32,0.2444,Revenda multimarca,2023,2,24,CLT,3835.79,45.0,Alugada,471.0,1,5,Não,0
T000060,2025-02-01,22000.0,4875.2,17124.8,0.7784,48,0.01669,521.37,0.0975,Concessionária,2022,3,56,CLT,5347.19,150.0,Familiar,538.0,0,3,Não,0
T000061,2025-06-01,71300.0,8634.43,62665.57,0.8789,36,0.01531,2277.22,0.2082,Correspondente bancário,2017,8,57,CLT,10936.34,65.0,Familiar,563.0,1,0,Não,0
T000062,2025-03-01,61200.0,13280.4,47919.6,0.783,48,0.01494,1405.84,0.0986,Concessionária,2023,2,24,Servidor público,14258.07,72.0,Financiada,708.0,2,2,Sim,0
T000063,2025-05-01,53100.0,24160.5,28939.5,0.545,48,0.01652,877.93,0.1524,Revenda multimarca,2015,10,63,Aposentado,5762.05,52.0,Financiada,,1,2,Sim,0
T000064,2025-02-01,33700.0,7161.25,26538.75,0.7875,48,0.01576,792.28,0.2697,Digital,2022,3,30,CLT,2937.65,85.0,Alugada,549.0,0,2,Não,0
T000065,2025-05-01,37700.0,22631.31,15068.69,0.3997,60,0.01712,403.8,0.085,Digital,2023,2,29,CLT,4751.47,8.0,Alugada,684.0,0,1,Não,0
T000066,2025-02-01,33200.0,3253.6,29946.4,0.902,60,0.01693,798.67,0.2594,Revenda multimarca,2014,11,44,CLT,3079.44,,Familiar,652.0,1,1,Não,0
T000067,2025-06-01,32100.0,7716.84,24383.16,0.7596,60,0.01646,642.64,0.2381,Concessionária,2023,2,26,Autônomo,2698.72,96.0,Própria,720.0,1,0,Sim,0
T000068,2025-01-01,28500.0,2014.95,26485.05,0.9293,60,0.01531,677.92,0.1804,Concessionária,2023,2,39,Autônomo,3758.75,8.0,Alugada,462.0,2,1,Não,0
T000069,2025-04-01,46000.0,21141.6,24858.4,0.5404,24,0.01622,1258.69,0.198,Revenda multimarca,2022,3,38,Servidor público,6357.72,170.0,Própria,554.0,1,2,Não,0
T000070,2025-01-01,55300.0,3671.92,51628.08,0.9336,36,0.01592,1895.2,0.0653,Revenda multimarca,2020,5,57,Empresário,29016.47,41.0,Alugada,646.0,1,2,Não,0
T000071,2025-06-01,49700.0,20406.82,29293.18,0.5894,24,0.01538,1468.9,0.2253,Revenda multimarca,2022,3,38,Autônomo,,,Familiar,590.0,0,1,Não,0
T000072,2025-02-01,82700.0,24421.31,58278.69,0.7047,36,0.01901,2250.25,0.2161,Revenda multimarca,2020,5,55,Empresário,10412.63,20.0,Familiar,716.0,0,3,Não,0
T000073,2025-03-01,59400.0,19542.6,39857.4,0.671,24,0.01279,1939.15,0.2377,Concessionária,2020,5,28,Servidor público,8157.29,120.0,Própria,719.0,0,0,Não,0
T000074,2025-03-01,51600.0,22311.84,29288.16,0.5676,36,0.01637,1083.15,0.1714,Revenda multimarca,2024,1,32,Autônomo,,24.0,Própria,774.0,0,0,Não,0
T000075,2025-01-01,44800.0,22126.72,22673.28,0.5061,24,0.0158,1142.49,0.201,Concessionária,2023,2,37,CLT,5684.08,55.0,Familiar,706.0,1,0,Não,0
T000076,2025-06-01,31900.0,3671.69,28228.31,0.8849,48,0.01604,847.73,0.2595,Concessionária,2020,5,31,Autônomo,3267.13,81.0,Familiar,735.0,0,2,Não,0
T000077,2025-05-01,30100.0,4590.25,25509.75,0.8475,48,0.01388,731.55,0.2008,Concessionária,2020,5,35,Servidor público,3642.34,169.0,Própria,496.0,1,1,Não,0
T000078,2025-02-01,42100.0,15779.08,26320.92,0.6252,60,0.01715,705.86,0.1503,Digital,2022,3,27,CLT,4696.97,35.0,Própria,599.0,2,2,Não,0
T000079,2025-03-01,25000.0,2925.0,22075.0,0.883,48,0.01578,659.3,0.0888,Concessionária,2020,5,35,CLT,7423.22,23.0,Familiar,631.0,1,2,Não,0
T000080,2025-06-01,49800.0,11309.58,38490.42,0.7729,60,0.01657,1017.28,0.1594,Digital,2020,5,58,Aposentado,6383.8,53.0,Familiar,698.0,0,2,Não,0
T000081,2025-01-01,26900.0,1950.25,24949.75,0.9275,60,0.01678,662.91,0.122,Revenda multimarca,2024,1,63,Aposentado,,34.0,Familiar,646.0,1,4,Não,0
T000082,2025-06-01,83000.0,15014.7,67985.3,0.8191,60,0.01772,1849.34,0.3762,Correspondente bancário,2024,1,53,CLT,4916.24,7.0,Alugada,692.0,0,1,Sim,0
T000083,2025-01-01,51500.0,4959.45,46540.55,0.9037,60,0.01651,1228.18,0.3397,Digital,2019,6,37,CLT,3615.7,76.0,Familiar,507.0,1,2,Sim,0
T000084,2025-06-01,35000.0,6142.5,28857.5,0.8245,48,0.01502,848.05,0.2778,Concessionária,2023,2,55,Aposentado,3053.22,175.0,Própria,717.0,0,3,Sim,0
T000085,2025-05-01,68900.0,23095.28,45804.72,0.6648,48,0.01524,1352.42,0.1762,Concessionária,2017,8,30,CLT,7675.99,29.0,Própria,826.0,0,0,Não,0
T000086,2025-01-01,40200.0,10114.32,30085.68,0.7484,60,0.01848,833.95,0.0889,Revenda multimarca,2024,1,75,CLT,9383.6,,Financiada,656.0,1,3,Não,0
T000087,2025-03-01,51800.0,5014.24,46785.76,0.9032,60,0.01543,1201.22,0.1721,Concessionária,2023,2,42,Empresário,6979.25,26.0,Própria,546.0,1,1,Não,0
T000088,2025-04-01,46200.0,4462.92,41737.08,0.9034,48,0.01487,1222.63,0.1408,Concessionária,2020,5,42,Empresário,8682.16,13.0,Alugada,706.0,1,4,Não,0
T000089,2025-05-01,27300.0,12039.3,15260.7,0.559,48,0.01604,458.3,0.2864,Concessionária,2013,12,46,Autônomo,1600.0,8.0,Alugada,682.0,1,1,Sim,0
T000090,2025-05-01,31200.0,19200.48,11999.52,0.3846,24,0.01485,598.02,0.0891,Concessionária,2023,2,46,CLT,6713.64,16.0,Própria,816.0,0,2,Não,0
T000091,2025-04-01,70500.0,9595.05,60904.95,0.8639,48,0.01593,1824.8,0.1656,Revenda multimarca,2022,3,38,CLT,11019.23,54.0,Familiar,528.0,2,1,Não,0
T000092,2025-03-01,30300.0,5102.52,25197.48,0.8316,36,0.01615,928.49,0.4272,Concessionária,2022,3,35,CLT,2173.4,92.0,Alugada,740.0,0,2,Não,0
T000093,2025-01-01,58700.0,16929.08,41770.92,0.7116,24,0.01597,2108.94,0.0968,Correspondente bancário,2022,3,26,Empresário,21780.77,7.0,Financiada,461.0,1,2,Não,0
T000094,2025-01-01,31900.0,8619.38,23280.62,0.7298,48,0.01596,697.96,0.1142,Correspondente bancário,2013,12,42,CLT,6113.6,48.0,Alugada,518.0,1,4,Não,0
T000095,2025-03-01,22000.0,7306.2,14693.8,0.6679,48,0.015,431.63,0.2698,Concessionária,2014,11,39,Autônomo,1600.0,56.0,Alugada,554.0,0,1,Não,0
T000096,2025-01-01,46900.0,11748.45,35151.55,0.7495,60,0.01632,923.18,0.1072,Digital,2019,6,35,CLT,8608.38,90.0,Familiar,493.0,1,1,Não,0
T000097,2025-05-01,46000.0,9057.4,36942.6,0.8031,24,0.01668,1880.51,0.3405,Concessionária,2020,5,34,CLT,5522.2,80.0,Alugada,492.0,0,2,Não,0
T000098,2025-05-01,73300.0,4918.43,68381.57,0.9329,36,0.01566,2499.41,0.3337,Concessionária,2023,2,34,Autônomo,7490.72,7.0,Familiar,743.0,0,3,Não,0
T000099,2025-02-01,22000.0,5781.6,16218.4,0.7372,36,0.01588,594.96,0.2182,Correspondente bancário,2021,4,50,Autônomo,2727.29,24.0,Financiada,730.0,0,0,Não,0
T000100,2025-06-01,39400.0,3865.14,35534.86,0.9019,24,0.01618,1798.45,0.2477,Revenda multimarca,2021,4,47,Empresário,7262.06,15.0,Própria,518.0,0,3,Não,0
T000101,2025-05-01,141100.0,14490.97,126609.03,0.8973,24,0.01515,6331.86,0.2889,Digital,2022,3,68,CLT,21919.17,90.0,Financiada,699.0,0,2,Não,0
T000102,2025-03-01,45300.0,4221.96,41078.04,0.9068,48,0.015,1206.67,0.1976,Digital,2022,3,54,Autônomo,,99.0,Própria,577.0,1,1,Sim,0
T000103,2025-03-01,50500.0,20245.45,30254.55,0.5991,48,0.01766,939.98,0.2313,Digital,2020,5,29,Autônomo,4064.01,27.0,Própria,829.0,0,1,Não,0
T000104,2025-04-01,24200.0,4128.52,20071.48,0.8294,48,0.01646,608.13,0.2895,Revenda multimarca,2019,6,23,CLT,2100.4,26.0,Familiar,556.0,2,0,Não,0
T000105,2025-01-01,54500.0,25816.65,28683.35,0.5263,60,0.01942,813.61,0.2821,Revenda multimarca,2022,3,39,CLT,2883.92,80.0,Alugada,547.0,0,1,Não,0
T000106,2025-01-01,26700.0,5983.47,20716.53,0.7759,36,0.01408,737.53,0.215,Digital,2020,5,36,Autônomo,3430.08,51.0,Alugada,477.0,0,1,Sim,0
T000107,2025-06-01,33900.0,3457.8,30442.2,0.898,24,0.01769,1567.7,0.2605,Revenda multimarca,2018,7,31,Autônomo,6018.41,3.0,Financiada,550.0,2,2,Sim,0
T000108,2025-03-01,41800.0,8602.44,33197.56,0.7942,60,0.01593,863.28,0.1342,Concessionária,2022,3,41,CLT,6431.45,88.0,Própria,828.0,0,0,Não,0
T000109,2025-01-01,50800.0,5476.24,45323.76,0.8922,36,0.01749,1707.3,0.2347,Revenda multimarca,2023,2,39,CLT,7274.42,8.0,Familiar,572.0,1,2,Não,0
T000110,2025-04-01,22000.0,7966.2,14033.8,0.6379,48,0.01693,429.42,0.22,Revenda multimarca,2023,2,39,CLT,1952.16,38.0,Alugada,730.0,0,3,Não,0
T000111,2025-05-01,25800.0,9669.84,16130.16,0.6252,48,0.01699,494.19,0.1934,Correspondente bancário,2023,2,27,CLT,2555.78,14.0,Alugada,731.0,0,2,Não,0
T000112,2025-01-01,85800.0,35598.42,50201.58,0.5851,24,0.01393,2475.23,0.1302,Concessionária,2024,1,61,CLT,19015.69,9.0,Própria,655.0,1,1,Não,0
T000113,2025-06-01,32900.0,1746.99,31153.01,0.9469,60,0.01729,838.38,0.1079,Revenda multimarca,2022,3,32,Empresário,7773.46,51.0,Própria,544.0,1,4,Não,0
T000114,2025-06-01,31700.0,7833.07,23866.93,0.7529,60,0.01792,652.47,0.1918,Revenda multimarca,2022,3,25,CLT,3402.38,22.0,Familiar,604.0,0,3,Não,0
T000115,2025-01-01,32700.0,1984.89,30715.11,0.9393,60,0.01661,812.6,0.0765,Correspondente bancário,2023,2,48,CLT,10626.8,,Financiada,712.0,1,3,Não,0
T000116,2025-03-01,22000.0,2116.4,19883.6,0.9038,24,0.01473,989.56,0.3531,Correspondente bancário,2019,6,30,Autônomo,2802.13,11.0,Familiar,518.0,2,0,Sim,0
T000117,2025-02-01,22000.0,7761.6,14238.4,0.6472,36,0.01345,501.56,0.3135,Concessionária,2013,12,23,CLT,1600.0,,Alugada,490.0,1,2,Não,0
T000118,2025-03-01,75200.0,11257.44,63942.56,0.8503,36,0.01346,2252.83,0.2192,Concessionária,2024,1,55,CLT,,21.0,Própria,540.0,0,0,Não,0
T000119,2025-05-01,59900.0,12728.75,47171.25,0.7875,48,0.01547,1399.6,0.1085,Concessionária,2024,1,31,Servidor público,12899.2,156.0,Alugada,800.0,0,0,Não,0
T000120,2025-03-01,40400.0,5142.92,35257.08,0.8727,48,0.01694,1079.06,0.2116,Revenda multimarca,2019,6,53,CLT,5100.62,88.0,Própria,559.0,0,2,Não,0
T000121,2025-02-01,44000.0,9090.4,34909.6,0.7934,24,0.01565,1756.02,0.2574,Revenda multimarca,2022,3,75,Aposentado,6821.24,87.0,Financiada,626.0,2,2,Não,0
T000122,2025-06-01,46100.0,4969.58,41130.42,0.8922,36,0.01669,1529.14,0.194,Revenda multimarca,2018,7,31,CLT,7883.5,49.0,Própria,632.0,2,4,Não,0
T000123,2025-03-01,26700.0,11379.54,15320.46,0.5738,60,0.01808,420.49,0.1272,Digital,2024,1,35,Autônomo,3306.81,,Própria,747.0,1,0,Não,0
T000124,2025-06-01,24300.0,5423.76,18876.24,0.7768,60,0.01573,488.37,0.1506,Concessionária,2018,7,31,Servidor público,3243.65,111.0,Familiar,678.0,1,0,Não,0
T000125,2025-06-01,73500.0,21425.25,52074.75,0.7085,60,0.01466,1310.83,0.2229,Concessionária,2022,3,33,Autônomo,5880.76,22.0,Alugada,678.0,0,1,Não,0
T000126,2025-02-01,60400.0,10890.12,49509.88,0.8197,48,0.01595,1484.01,0.1534,Concessionária,2024,1,58,CLT,9674.39,59.0,Alugada,523.0,2,1,Não,0
T000127,2025-03-01,59700.0,7313.25,52386.75,0.8775,48,0.01563,1559.63,0.1453,Concessionária,2020,5,28,CLT,10737.45,89.0,Alugada,488.0,1,2,Não,0
T000128,2025-02-01,22000.0,4369.2,17630.8,0.8014,36,0.0167,655.58,0.1571,Correspondente bancário,2022,3,28,CLT,4173.76,63.0,Própria,503.0,1,1,Não,0
T000129,2025-02-01,31500.0,5307.75,26192.25,0.8315,60,0.01864,728.89,0.1401,Digital,2024,1,44,Servidor público,5202.22,75.0,Própria,739.0,1,0,Não,0
T000130,2025-05-01,98700.0,8843.52,89856.48,0.9104,60,0.01821,2474.18,0.2214,Revenda multimarca,2024,1,29,Empresário,11173.28,,Familiar,512.0,2,4,Não,0
T000131,2025-04-01,142200.0,55130.94,87069.06,0.6123,24,0.01356,4274.5,0.1208,Correspondente bancário,2022,3,40,Servidor público,35377.9,114.0,Alugada,621.0,0,3,Não,0
T000132,2025-01-01,23000.0,5779.9,17220.1,0.7487,36,0.01573,630.14,0.1212,Concessionária,2023,2,27,Autônomo,5198.79,52.0,Alugada,,1,3,Não,0
T000133,2025-03-01,45900.0,11259.27,34640.73,0.7547,60,0.01642,912.07,0.2719,Correspondente bancário,2021,4,35,Autônomo,3354.24,53.0,Própria,507.0,0,4,Não,0
T000134,2025-02-01,27300.0,3557.19,23742.81,0.8697,36,0.01458,852.37,0.2328,Digital,2020,5,29,CLT,3661.99,60.0,Própria,638.0,1,0,Não,0
T000135,2025-02-01,58100.0,9993.2,48106.8,0.828,48,0.01734,1484.7,0.1081,Correspondente bancário,2021,4,33,Servidor público,13731.88,180.0,Própria,736.0,1,1,Não,0
T000136,2025-05-01,66300.0,19996.08,46303.92,0.6984,48,0.01448,1345.13,0.102,Concessionária,2023,2,35,Servidor público,13190.1,,Própria,768.0,2,0,Não,0
T000137,2025-06-01,49300.0,14065.29,35234.71,0.7147,60,0.01787,962.04,0.1503,Correspondente bancário,2024,1,35,Empresário,6399.52,28.0,Própria,604.0,1,0,Sim,0
T000138,2025-02-01,26900.0,6660.44,20239.56,0.7524,36,0.01434,723.69,0.2062,Concessionária,2013,12,75,Aposentado,3509.02,,Alugada,730.0,0,3,Não,0
T000139,2025-05-01,38700.0,9171.9,29528.1,0.763,48,0.01688,902.58,0.1367,Correspondente bancário,2022,3,50,Servidor público,6602.9,133.0,Familiar,634.0,1,1,Não,0
T000140,2025-01-01,37400.0,3657.72,33742.28,0.9022,24,0.01613,1706.74,0.4037,Correspondente bancário,2019,6,27,CLT,4227.29,,Própria,578.0,1,4,Não,0
T000141,2025-02-01,23900.0,7363.59,16536.41,0.6919,60,0.0169,440.69,0.0497,Revenda multimarca,2022,3,36,CLT,8870.99,10.0,Própria,509.0,0,2,Não,0
T000142,2025-02-01,61600.0,6203.12,55396.88,0.8993,48,0.01605,1663.98,0.1569,Revenda multimarca,2022,3,37,CLT,10605.53,,Financiada,,0,2,Sim,0
T000143,2025-04-01,62400.0,22732.32,39667.68,0.6357,60,0.0162,1038.63,0.0875,Digital,2020,5,36,CLT,11870.05,25.0,Própria,,2,0,Não,0
T000144,2025-05-01,44600.0,5682.04,38917.96,0.8726,60,0.01856,1080.9,0.2571,Correspondente bancário,2023,2,51,CLT,4203.89,18.0,Financiada,665.0,0,1,Não,0
T000145,2025-03-01,40100.0,5333.3,34766.7,0.867,48,0.01562,1034.84,0.2325,Digital,2025,0,74,Aposentado,,92.0,Própria,622.0,1,1,Não,0
T000146,2025-04-01,22000.0,5042.4,16957.6,0.7708,48,0.01455,493.36,0.2185,Concessionária,2022,3,28,Autônomo,2258.12,3.0,Alugada,621.0,0,3,Não,0
T000147,2025-04-01,22000.0,14830.2,7169.8,0.3259,48,0.01648,217.32,0.0776,Revenda multimarca,2024,1,33,CLT,2800.06,18.0,Alugada,635.0,0,0,Não,0
