id_proposta,data_proposta,valor_bem,valor_entrada_desejada,pct_entrada_desejada,valor_financiado_desejado,ltv_desejado,prazo_desejado_meses,canal_originacao,ano_modelo,idade_veiculo_anos,idade_cliente,ocupacao,renda_mensal_declarada,tempo_emprego_meses,tipo_residencia,score_bureau,qtd_restricoes_ativas,qtd_consultas_bureau_3m,possui_avalista,qtd_parcelas_em_atraso_12m
P000037,2025-10-01,31600.0,1390.4,0.044,30209.6,0.956,48,Revenda multimarca,2022,3,32,Autônomo,,,Alugada,505.0,0,2,Sim,0
P000038,2025-09-01,41300.0,2911.65,0.0705,38388.35,0.9295,36,Correspondente bancário,2022,3,43,CLT,5401.66,40.0,Própria,605.0,0,4,Não,0
P000039,2025-12-01,22000.0,3080.0,0.14,18920.0,0.86,24,Concessionária,2020,5,31,CLT,2935.1,22.0,Alugada,593.0,0,0,Não,0
P000040,2025-11-01,60900.0,3988.95,0.0655,56911.05,0.9345,60,Correspondente bancário,2020,5,46,CLT,4401.15,101.0,Alugada,457.0,0,0,Não,0
P000041,2025-12-01,22000.0,4917.0,0.2235,17083.0,0.7765,36,Concessionária,2024,1,25,Autônomo,1600.0,62.0,Própria,415.0,5,1,Não,0
P000042,2025-11-01,22500.0,5294.25,0.2353,17205.75,0.7647,48,Correspondente bancário,2020,5,33,Autônomo,1600.0,70.0,Alugada,385.0,5,2,Sim,0
P000043,2025-11-01,34800.0,4920.72,0.1414,29879.28,0.8586,60,Revenda multimarca,2024,1,62,CLT,2603.68,16.0,Familiar,166.0,5,6,Sim,0
P000044,2025-10-01,54000.0,22971.6,0.4254,31028.4,0.5746,36,Digital,2022,3,33,CLT,5169.5,15.0,Financiada,725.0,1,2,Não,0
P000045,2025-07-01,22000.0,10208.0,0.464,11792.0,0.536,24,Concessionária,2017,8,45,Autônomo,1636.91,101.0,Financiada,661.0,0,0,Não,0
P000046,2025-08-01,27900.0,3029.94,0.1086,24870.06,0.8914,48,Correspondente bancário,2023,2,36,CLT,4937.08,97.0,Própria,405.0,5,5,Não,0
P000047,2025-09-01,35700.0,15465.24,0.4332,20234.76,0.5668,36,Revenda multimarca,2021,4,43,CLT,2748.43,136.0,Financiada,429.0,1,0,Não,0
P000048,2025-12-01,24100.0,865.19,0.0359,23234.81,0.9641,48,Digital,2021,4,56,Autônomo,,15.0,Familiar,355.0,1,5,Não,0
P000049,2025-10-01,27900.0,558.0,0.02,27342.0,0.98,60,Concessionária,2023,2,51,Autônomo,2035.87,26.0,Familiar,703.0,0,0,Não,0
P000050,2025-11-01,52600.0,20466.66,0.3891,32133.34,0.6109,36,Correspondente bancário,2022,3,48,Servidor público,3150.3,68.0,Alugada,623.0,0,2,Sim,0
P000051,2025-12-01,22000.0,3412.2,0.1551,18587.8,0.8449,48,Revenda multimarca,2016,9,28,CLT,1806.64,20.0,Financiada,360.0,2,3,Sim,0
P000052,2025-07-01,41100.0,10735.32,0.2612,30364.68,0.7388,48,Correspondente bancário,2024,1,53,Aposentado,3921.47,5.0,Própria,648.0,1,3,Não,0
P000053,2025-07-01,22000.0,440.0,0.02,21560.0,0.98,48,Concessionária,2016,9,35,Servidor público,5198.54,,Familiar,277.0,5,5,Sim,0
P000054,2025-08-01,22000.0,5130.4,0.2332,16869.6,0.7668,60,Concessionária,2024,1,31,Autônomo,2000.11,25.0,Própria,538.0,3,0,Não,0
P000055,2025-07-01,42500.0,12448.25,0.2929,30051.75,0.7071,60,Revenda multimarca,2024,1,47,CLT,6168.21,64.0,Financiada,545.0,3,3,Não,0
P000056,2025-09-01,32100.0,10117.92,0.3152,21982.08,0.6848,36,Revenda multimarca,2019,6,38,CLT,2955.82,47.0,Familiar,396.0,2,2,Não,0
P000057,2025-08-01,39500.0,2255.45,0.0571,37244.55,0.9429,60,Digital,2018,7,28,CLT,2502.89,48.0,Própria,702.0,0,1,Não,0
P000058,2025-08-01,22000.0,660.0,0.03,21340.0,0.97,60,Correspondente bancário,2022,3,61,Servidor público,1844.96,56.0,Alugada,101.0,5,5,Sim,0
P000059,2025-08-01,22000.0,10194.8,0.4634,11805.2,0.5366,48,Concessionária,2013,12,45,CLT,3114.18,23.0,Própria,438.0,3,1,Sim,0
P000060,2025-10-01,36400.0,5456.36,0.1499,30943.64,0.8501,60,Concessionária,2024,1,39,CLT,6116.38,47.0,Própria,648.0,0,0,Não,0
P000061,2025-10-01,22000.0,2547.6,0.1158,19452.4,0.8842,36,Digital,2022,3,26,CLT,1600.0,68.0,Familiar,388.0,3,0,Sim,0
P000062,2025-11-01,22000.0,4439.6,0.2018,17560.4,0.7982,48,Concessionária,2015,10,29,Autônomo,1600.0,,Familiar,585.0,1,3,Não,0
P000063,2025-11-01,29600.0,2054.24,0.0694,27545.76,0.9306,60,Digital,2024,1,24,Autônomo,,32.0,Própria,882.0,0,0,Não,0
P000064,2025-10-01,50000.0,5790.0,0.1158,44210.0,0.8842,24,Concessionária,2024,1,33,CLT,5269.08,46.0,Financiada,510.0,2,0,Não,0
P000065,2025-10-01,33200.0,6128.72,0.1846,27071.28,0.8154,36,Concessionária,2015,10,59,CLT,5038.47,39.0,Própria,568.0,0,3,Não,0
P000066,2025-10-01,28700.0,9571.45,0.3335,19128.55,0.6665,24,Revenda multimarca,2022,3,30,CLT,1938.64,48.0,Própria,365.0,5,0,Não,0
P000067,2025-08-01,22000.0,1060.4,0.0482,20939.6,0.9518,48,Correspondente bancário,2015,10,34,Autônomo,1600.0,94.0,Própria,652.0,0,1,Não,0
P000068,2025-07-01,24100.0,4764.57,0.1977,19335.43,0.8023,48,Digital,2022,3,27,CLT,3321.74,13.0,Própria,545.0,2,2,Não,0
P000069,2025-07-01,22400.0,4674.88,0.2087,17725.12,0.7913,60,Concessionária,2014,11,34,Autônomo,2101.06,37.0,Financiada,662.0,2,1,Não,0
P000070,2025-12-01,22400.0,6498.24,0.2901,15901.76,0.7099,24,Correspondente bancário,2017,8,34,CLT,3338.41,111.0,Própria,531.0,4,1,Não,0
P000071,2025-10-01,45100.0,16470.52,0.3652,28629.48,0.6348,60,Revenda multimarca,2021,4,55,CLT,2536.12,246.0,Alugada,414.0,3,4,Não,0
P000072,2025-12-01,109600.0,34282.88,0.3128,75317.12,0.6872,36,Concessionária,2020,5,27,Servidor público,,46.0,Familiar,643.0,0,0,Não,0
P000073,2025-09-01,33300.0,6610.05,0.1985,26689.95,0.8015,60,Revenda multimarca,2015,10,25,CLT,4205.66,7.0,Alugada,573.0,0,1,Não,0
P000074,2025-08-01,57600.0,12234.24,0.2124,45365.76,0.7876,48,Concessionária,2023,2,25,Servidor público,5876.46,,Alugada,495.0,1,1,Não,0
P000075,2025-12-01,75700.0,11854.62,0.1566,63845.38,0.8434,60,Concessionária,2017,8,75,CLT,,,Familiar,596.0,2,1,Não,0
P000076,2025-09-01,54400.0,13730.56,0.2524,40669.44,0.7476,48,Concessionária,2018,7,40,Autônomo,3854.93,21.0,Familiar,738.0,1,1,Sim,0
P000077,2025-11-01,60100.0,16040.69,0.2669,44059.31,0.7331,36,Concessionária,2013,12,51,CLT,3076.14,31.0,Própria,458.0,2,4,Não,0
P000078,2025-07-01,27100.0,11371.16,0.4196,15728.84,0.5804,36,Concessionária,2024,1,46,Servidor público,3198.53,22.0,Alugada,493.0,4,0,Sim,0
P000079,2025-08-01,43200.0,8868.96,0.2053,34331.04,0.7947,36,Concessionária,2019,6,59,CLT,,36.0,Alugada,424.0,0,2,Não,0
P000080,2025-10-01,22000.0,5398.8,0.2454,16601.2,0.7546,60,Correspondente bancário,2013,12,57,Autônomo,5816.53,59.0,Financiada,388.0,3,3,Não,0
P000081,2025-10-01,22000.0,4028.2,0.1831,17971.8,0.8169,60,Concessionária,2022,3,47,CLT,4907.14,20.0,Financiada,553.0,0,2,Não,0
P000082,2025-12-01,22500.0,7033.5,0.3126,15466.5,0.6874,36,Correspondente bancário,2017,8,29,CLT,3573.99,132.0,Alugada,499.0,5,1,Não,0
P000083,2025-10-01,30300.0,4763.16,0.1572,25536.84,0.8428,60,Concessionária,2025,0,26,Empresário,3272.71,18.0,Alugada,577.0,0,1,Não,0
P000084,2025-11-01,24900.0,2534.82,0.1018,22365.18,0.8982,48,Revenda multimarca,2023,2,32,CLT,2764.0,87.0,Alugada,140.0,5,8,Não,0
P000085,2025-08-01,84400.0,14601.2,0.173,69798.8,0.827,36,Revenda multimarca,2022,3,32,CLT,15158.77,127.0,Familiar,874.0,0,1,Não,0
P000086,2025-10-01,22000.0,6424.0,0.292,15576.0,0.708,36,Concessionária,2019,6,46,Empresário,2471.07,7.0,Alugada,292.0,5,1,Não,0
P000087,2025-07-01,69200.0,33575.84,0.4852,35624.16,0.5148,60,Revenda multimarca,2024,1,27,Autônomo,7055.67,108.0,Própria,853.0,0,0,Não,0
P000088,2025-07-01,29700.0,3320.46,0.1118,26379.54,0.8882,36,Revenda multimarca,2013,12,44,Autônomo,3584.88,29.0,Própria,435.0,3,1,Sim,0
P000089,2025-11-01,26600.0,9945.74,0.3739,16654.26,0.6261,24,Digital,2020,5,47,CLT,6314.34,71.0,Alugada,526.0,1,3,Não,0
P000090,2025-08-01,92700.0,32296.68,0.3484,60403.32,0.6516,24,Concessionária,2021,4,51,Autônomo,14413.85,,Alugada,731.0,1,1,Não,0
P000091,2025-07-01,39800.0,9213.7,0.2315,30586.3,0.7685,48,Correspondente bancário,2021,4,27,Autônomo,3603.82,13.0,Familiar,,0,0,Não,0
P000092,2025-07-01,41400.0,4516.74,0.1091,36883.26,0.8909,48,Concessionária,2021,4,36,CLT,4892.87,60.0,Alugada,826.0,0,1,Sim,0
P000093,2025-12-01,31300.0,12695.28,0.4056,18604.72,0.5944,60,Concessionária,2013,12,37,CLT,,31.0,Própria,483.0,2,7,Não,0
P000094,2025-07-01,51800.0,32064.2,0.619,19735.8,0.381,60,Concessionária,2015,10,34,Autônomo,3283.63,37.0,Familiar,341.0,5,3,Sim,0
P000095,2025-09-01,22000.0,5900.4,0.2682,16099.6,0.7318,24,Digital,2023,2,34,Autônomo,1600.0,19.0,Alugada,619.0,1,2,Não,0
P000096,2025-09-01,23600.0,5779.64,0.2449,17820.36,0.7551,60,Concessionária,2013,12,75,CLT,1604.68,37.0,Alugada,285.0,4,4,Sim,0
P000097,2025-10-01,27000.0,2805.3,0.1039,24194.7,0.8961,36,Correspondente bancário,2022,3,40,Autônomo,4057.29,22.0,Própria,,0,0,Não,0
P000098,2025-07-01,72900.0,1924.56,0.0264,70975.44,0.9736,36,Concessionária,2016,9,33,CLT,6458.94,44.0,Própria,548.0,1,4,Não,0
P000099,2025-12-01,26500.0,8034.8,0.3032,18465.2,0.6968,24,Correspondente bancário,2020,5,27,Servidor público,4385.0,57.0,Própria,415.0,1,2,Não,0
P000100,2025-12-01,22000.0,2906.2,0.1321,19093.8,0.8679,48,Concessionária,2013,12,47,Autônomo,1810.63,,Alugada,456.0,1,1,Não,0
P000101,2025-12-01,22000.0,4738.8,0.2154,17261.2,0.7846,48,Correspondente bancário,2024,1,46,Servidor público,1781.2,25.0,Financiada,382.0,2,2,Sim,0
P000102,2025-08-01,45900.0,6885.0,0.15,39015.0,0.85,60,Concessionária,2021,4,44,Autônomo,5935.0,52.0,Familiar,582.0,2,2,Não,0
P000103,2025-07-01,37100.0,2296.49,0.0619,34803.51,0.9381,24,Concessionária,2024,1,51,Autônomo,5478.03,26.0,Financiada,387.0,1,2,Sim,0
P000104,2025-12-01,48300.0,7317.45,0.1515,40982.55,0.8485,24,Correspondente bancário,2023,2,36,Empresário,12752.8,67.0,Própria,543.0,2,2,Sim,0
P000105,2025-09-01,33100.0,2916.11,0.0881,30183.89,0.9119,36,Concessionária,2021,4,25,CLT,6666.22,38.0,Própria,513.0,0,1,Sim,0
P000106,2025-07-01,22000.0,4246.0,0.193,17754.0,0.807,36,Concessionária,2023,2,29,Empresário,3536.03,81.0,Financiada,221.0,5,3,Sim,0
P000107,2025-07-01,22000.0,4857.6,0.2208,17142.4,0.7792,24,Concessionária,2023,2,31,CLT,2265.51,88.0,Própria,680.0,0,2,Não,0
P000108,2025-09-01,56100.0,9834.33,0.1753,46265.67,0.8247,36,Concessionária,2023,2,32,CLT,3792.28,34.0,Familiar,691.0,0,2,Não,0
P000109,2025-12-01,45400.0,18972.66,0.4179,26427.34,0.5821,36,Concessionária,2013,12,41,Servidor público,4488.48,27.0,Própria,475.0,1,2,Sim,0
P000110,2025-11-01,80300.0,25302.53,0.3151,54997.47,0.6849,60,Correspondente bancário,2024,1,34,Servidor público,4149.69,70.0,Familiar,472.0,1,3,Não,0
P000111,2025-08-01,29800.0,10915.74,0.3663,18884.26,0.6337,60,Revenda multimarca,2022,3,55,Empresário,4100.88,,Própria,166.0,5,4,Sim,0
P000112,2025-07-01,22000.0,5266.8,0.2394,16733.2,0.7606,24,Revenda multimarca,2013,12,38,CLT,1600.0,44.0,Própria,258.0,5,6,Sim,0
P000113,2025-07-01,57000.0,19471.2,0.3416,37528.8,0.6584,24,Concessionária,2022,3,23,CLT,3756.62,,Alugada,816.0,1,1,Não,0
P000114,2025-11-01,25200.0,6247.08,0.2479,18952.92,0.7521,24,Correspondente bancário,2022,3,75,Aposentado,3371.0,159.0,Própria,316.0,5,1,Sim,0
P000115,2025-12-01,40100.0,3897.72,0.0972,36202.28,0.9028,60,Digital,2013,12,38,CLT,2060.32,21.0,Financiada,426.0,3,3,Sim,0
P000116,2025-11-01,54000.0,15211.8,0.2817,38788.2,0.7183,60,Digital,2021,4,31,Autônomo,10336.93,56.0,Alugada,920.0,0,0,Não,0
P000117,2025-10-01,45700.0,6717.9,0.147,38982.1,0.853,60,Digital,2022,3,27,CLT,,77.0,Alugada,,2,2,Não,0
P000118,2025-08-01,32800.0,6274.64,0.1913,26525.36,0.8087,60,Revenda multimarca,2023,2,38,CLT,4608.4,95.0,Familiar,690.0,1,0,Não,0
P000119,2025-12-01,31200.0,13609.44,0.4362,17590.56,0.5638,60,Revenda multimarca,2023,2,33,CLT,2399.16,65.0,Alugada,572.0,1,0,Não,0
P000120,2025-08-01,34500.0,6244.5,0.181,28255.5,0.819,48,Concessionária,2020,5,43,Servidor público,4167.06,70.0,Alugada,355.0,5,8,Sim,0
P000121,2025-11-01,34900.0,2474.41,0.0709,32425.59,0.9291,60,Concessionária,2013,12,33,Autônomo,,96.0,Própria,430.0,4,5,Sim,0
P000122,2025-08-01,22000.0,1210.0,0.055,20790.0,0.945,48,Concessionária,2019,6,24,Autônomo,2644.52,14.0,Familiar,576.0,0,1,Não,0
P000123,2025-09-01,22000.0,13131.8,0.5969,8868.2,0.4031,60,Concessionária,2020,5,29,Autônomo,2671.67,92.0,Alugada,773.0,0,0,Não,0
P000124,2025-12-01,42800.0,5752.32,0.1344,37047.68,0.8656,60,Digital,2023,2,27,Empresário,5653.83,6.0,Própria,736.0,0,1,Não,0
P000125,2025-09-01,44000.0,13349.6,0.3034,30650.4,0.6966,24,Concessionária,2020,5,61,CLT,3443.24,82.0,Própria,624.0,1,4,Não,0
P000126,2025-12-01,35100.0,11586.51,0.3301,23513.49,0.6699,48,Revenda multimarca,2022,3,33,CLT,6034.58,76.0,Própria,548.0,1,2,Não,0
P000127,2025-08-01,31300.0,1784.1,0.057,29515.9,0.943,36,Revenda multimarca,2025,0,35,Servidor público,9712.97,84.0,Financiada,512.0,1,2,Sim,0
P000128,2025-09-01,36800.0,2616.48,0.0711,34183.52,0.9289,48,Concessionária,2023,2,54,CLT,7989.94,6.0,Familiar,389.0,5,3,Não,0
P000129,2025-12-01,23500.0,9832.4,0.4184,13667.6,0.5816,60,Revenda multimarca,2020,5,25,Autônomo,,,Alugada,454.0,5,3,Não,0
P000130,2025-10-01,48000.0,36000.0,0.75,12000.0,0.25,36,Digital,2022,3,45,CLT,21117.3,8.0,Familiar,822.0,1,1,Não,0
P000131,2025-08-01,25100.0,3227.86,0.1286,21872.14,0.8714,48,Correspondente bancário,2013,12,31,CLT,1600.0,156.0,Própria,226.0,5,2,Sim,0
P000132,2025-12-01,65900.0,15499.68,0.2352,50400.32,0.7648,24,Concessionária,2023,2,44,CLT,9087.71,107.0,Própria,753.0,0,2,Não,0
P000133,2025-10-01,56300.0,17571.23,0.3121,38728.77,0.6879,48,Digital,2020,5,31,CLT,2710.11,19.0,Familiar,468.0,2,1,Sim,0
P000134,2025-10-01,22000.0,5680.4,0.2582,16319.6,0.7418,36,Revenda multimarca,2022,3,36,CLT,2318.23,61.0,Financiada,303.0,5,0,Não,0
P000135,2025-12-01,26000.0,17373.2,0.6682,8626.8,0.3318,60,Revenda multimarca,2015,10,59,Autônomo,2914.47,46.0,Alugada,571.0,1,2,Não,0
P000136,2025-09-01,28800.0,8133.12,0.2824,20666.88,0.7176,60,Concessionária,2019,6,53,Servidor público,8001.52,30.0,Alugada,416.0,2,3,Não,0
P000137,2025-08-01,22000.0,440.0,0.02,21560.0,0.98,24,Digital,2024,1,28,Autônomo,2688.1,22.0,Própria,493.0,1,3,Sim,0
P000138,2025-10-01,27800.0,3155.3,0.1135,24644.7,0.8865,48,Correspondente bancário,2023,2,23,CLT,3239.4,14.0,Própria,294.0,5,4,Não,0
P000139,2025-08-01,51500.0,4712.25,0.0915,46787.75,0.9085,36,Correspondente bancário,2023,2,31,Autônomo,6559.33,13.0,Própria,515.0,3,2,Não,0
P000140,2025-09-01,55500.0,11460.75,0.2065,44039.25,0.7935,36,Concessionária,2020,5,45,CLT,6060.48,18.0,Alugada,435.0,3,4,Sim,0
P000141,2025-08-01,39200.0,6648.32,0.1696,32551.68,0.8304,60,Concessionária,2017,8,38,Autônomo,,64.0,Financiada,389.0,4,2,Não,0
P000142,2025-08-01,50300.0,11357.74,0.2258,38942.26,0.7742,36,Concessionária,2013,12,66,Empresário,6253.55,40.0,Familiar,372.0,4,1,Não,0
P000143,2025-12-01,23300.0,15729.83,0.6751,7570.17,0.3249,60,Revenda multimarca,2023,2,40,Servidor público,2132.61,70.0,Própria,472.0,0,4,Não,0
P000144,2025-10-01,22000.0,440.0,0.02,21560.0,0.98,60,Revenda multimarca,2015,10,28,CLT,2327.96,,Financiada,384.0,4,4,Sim,0
P000145,2025-11-01,27800.0,7155.72,0.2574,20644.28,0.7426,36,Correspondente bancário,2017,8,53,CLT,3597.91,,Própria,,0,3,Não,0
P000146,2025-11-01,22000.0,7715.4,0.3507,14284.6,0.6493,48,Concessionária,2013,12,75,CLT,1600.0,51.0,Financiada,199.0,5,3,Não,0
P000147,2025-10-01,26100.0,6660.72,0.2552,19439.28,0.7448,60,Revenda multimarca,2024,1,66,Aposentado,2235.26,86.0,Financiada,633.0,1,2,Não,0
P000148,2025-12-01,56500.0,29193.55,0.5167,27306.45,0.4833,60,Revenda multimarca,2016,9,27,CLT,8502.53,17.0,Alugada,376.0,3,4,Não,0
P000149,2025-07-01,34900.0,9377.63,0.2687,25522.37,0.7313,24,Concessionária,2023,2,49,CLT,1836.0,48.0,Própria,519.0,3,4,Não,0
P000150,2025-12-01,22000.0,8709.8,0.3959,13290.2,0.6041,48,Concessionária,2013,12,50,Autônomo,3483.02,87.0,Financiada,586.0,0,2,Não,0
P000151,2025-12-01,37100.0,6514.76,0.1756,30585.24,0.8244,36,Revenda multimarca,2022,3,47,CLT,3830.44,78.0,Familiar,574.0,2,1,Não,0
P000152,2025-10-01,43600.0,21263.72,0.4877,22336.28,0.5123,60,Concessionária,2020,5,42,Autônomo,9547.72,41.0,Financiada,588.0,0,1,Não,0
P000153,2025-12-01,22000.0,3522.2,0.1601,18477.8,0.8399,60,Concessionária,2024,1,45,CLT,4043.17,67.0,Alugada,554.0,2,0,Não,0
P000154,2025-07-01,62300.0,19886.16,0.3192,42413.84,0.6808,36,Digital,2022,3,32,CLT,3042.56,8.0,Alugada,349.0,2,3,Sim,0
P000155,2025-08-01,25800.0,892.68,0.0346,24907.32,0.9654,60,Concessionária,2019,6,37,CLT,2472.45,46.0,Própria,416.0,5,4,Não,0
P000156,2025-07-01,38000.0,10047.2,0.2644,27952.8,0.7356,36,Revenda multimarca,2020,5,58,CLT,4427.77,455.0,Alugada,689.0,0,4,Não,0
P000157,2025-07-01,86600.0,17579.8,0.203,69020.2,0.797,24,Correspondente bancário,2024,1,61,Empresário,16961.18,35.0,Própria,752.0,0,0,Não,0
P000158,2025-08-01,56900.0,22065.82,0.3878,34834.18,0.6122,36,Concessionária,2017,8,47,CLT,8922.96,176.0,Familiar,587.0,1,2,Não,0
P000159,2025-08-01,31100.0,9314.45,0.2995,21785.55,0.7005,48,Concessionária,2021,4,29,CLT,3278.45,53.0,Própria,483.0,3,3,Sim,0
P000160,2025-10-01,25600.0,9812.48,0.3833,15787.52,0.6167,60,Revenda multimarca,2023,2,67,CLT,3801.05,44.0,Própria,648.0,1,3,Sim,0
P000161,2025-09-01,32200.0,4556.3,0.1415,27643.7,0.8585,24,Revenda multimarca,2020,5,33,CLT,6142.99,114.0,Familiar,597.0,1,2,Sim,0
P000162,2025-10-01,30000.0,1821.0,0.0607,28179.0,0.9393,36,Concessionária,2013,12,23,CLT,6336.68,45.0,Financiada,562.0,0,1,Sim,0
P000163,2025-12-01,46900.0,20687.59,0.4411,26212.41,0.5589,24,Concessionária,2020,5,32,CLT,3365.81,46.0,Financiada,626.0,0,1,Não,0
P000164,2025-12-01,22000.0,6692.4,0.3042,15307.6,0.6958,48,Revenda multimarca,2023,2,33,Servidor público,2233.84,114.0,Própria,247.0,3,3,Sim,0
