id_proposta,pd,score_1a10,decisao,taxa_am,prazo_meses,pct_entrada_minima
P000165,0.036211,10,APROVAR,0.0227,24,0.0
P000166,0.031623,10,APROVAR,0.0227,60,0.0
P000167,0.058487,7,APROVAR,0.0256,24,0.0
P000168,0.035016,10,APROVAR,0.0227,24,0.0
P000169,0.215272,2,NEGAR,,,
P000170,0.031103,10,APROVAR,0.0227,36,0.0
P000171,0.026988,10,APROVAR,0.0227,36,0.0
P000172,0.188041,3,NEGAR,,,
P000173,0.456662,1,NEGAR,,,
P000174,0.032242,10,APROVAR,0.0227,24,0.0
P000175,0.033901,10,APROVAR,0.0227,36,0.0
P000176,0.030695,10,APROVAR,0.0227,36,0.0
P000177,0.032274,10,APROVAR,0.0227,48,0.0
P000178,0.445004,1,NEGAR,,,
P000179,0.078595,6,APROVAR,0.0265,36,0.21
P000180,0.088667,5,APROVAR,0.0282,48,0.21
P000181,0.15936,3,NEGAR,,,
P000182,0.039838,9,APROVAR,0.0236,36,0.0
P000183,0.302647,1,NEGAR,,,
P000184,0.112162,4,NEGAR,,,
P000185,0.320032,1,NEGAR,,,
P000186,0.467894,1,NEGAR,,,
P000187,0.036795,10,APROVAR,0.0227,36,0.0
P000188,0.145322,3,NEGAR,,,
P000189,0.038477,9,APROVAR,0.0236,48,0.0
P000190,0.046998,8,APROVAR,0.0247,60,0.0
P000191,0.159867,3,NEGAR,,,
P000192,0.070499,6,APROVAR,0.0265,60,0.21
P000193,0.077989,6,APROVAR,0.0265,36,0.21
P000194,0.028973,10,APROVAR,0.0227,24,0.0
P000195,0.246545,2,NEGAR,,,
P000196,0.065396,7,APROVAR,0.0256,36,0.0
P000197,0.175729,3,NEGAR,,,
P000198,0.133146,4,NEGAR,,,
P000199,0.033697,10,APROVAR,0.0227,36,0.0
P000200,0.098107,5,APROVAR,0.0282,60,0.21
P000201,0.063605,7,APROVAR,0.0256,48,0.0
P000202,0.205676,3,NEGAR,,,
P000203,0.233547,2,NEGAR,,,
P000204,0.283235,2,NEGAR,,,
P000205,0.268258,2,NEGAR,,,
P000206,0.207055,3,NEGAR,,,
P000207,0.05874,7,APROVAR,0.0256,60,0.0
P000208,0.500253,1,NEGAR,,,
P000209,0.096545,5,APROVAR,0.0282,24,0.21
P000210,0.11139,4,NEGAR,,,
P000211,0.302692,1,NEGAR,,,
P000212,0.079586,6,APROVAR,0.0265,48,0.21
P000213,0.433025,1,NEGAR,,,
P000214,0.142626,4,NEGAR,,,
P000215,0.07634,6,APROVAR,0.0265,60,0.21
P000216,0.044671,9,APROVAR,0.0236,60,0.0
P000217,0.10215,5,APROVAR,0.0282,36,0.21
P000218,0.47948,1,NEGAR,,,
P000219,0.168248,3,NEGAR,,,
P000220,0.239252,2,NEGAR,,,
P000221,0.200022,3,NEGAR,,,
P000222,0.081634,6,APROVAR,0.0265,24,0.21
P000223,0.146818,3,NEGAR,,,
P000224,0.327503,1,NEGAR,,,
P000225,0.235996,2,NEGAR,,,
P000226,0.302502,1,NEGAR,,,
P000227,0.261693,2,NEGAR,,,
P000228,0.088696,5,APROVAR,0.0282,36,0.21
P000229,0.034955,10,APROVAR,0.0227,36,0.0
P000230,0.042159,9,APROVAR,0.0236,60,0.0
P000231,0.035788,10,APROVAR,0.0227,24,0.0
P000232,0.359487,1,NEGAR,,,
P000233,0.043451,9,APROVAR,0.0236,60,0.0
P000234,0.016393,10,APROVAR,0.0227,36,0.0
P000235,0.173487,3,NEGAR,,,
P000236,0.585962,1,NEGAR,,,
P000237,0.404916,1,NEGAR,,,
P000238,0.336451,1,NEGAR,,,
P000239,0.279033,2,NEGAR,,,
P000240,0.06443,7,APROVAR,0.0256,36,0.0
P000241,0.050475,8,APROVAR,0.0247,60,0.0
P000242,0.187411,3,NEGAR,,,
P000243,0.078497,6,APROVAR,0.0265,48,0.21
P000244,0.036741,10,APROVAR,0.0227,24,0.0
P000245,0.22519,2,NEGAR,,,
P000246,0.053751,8,APROVAR,0.0247,24,0.0
P000247,0.05917,7,APROVAR,0.0256,60,0.0
P000248,0.036475,10,APROVAR,0.0227,60,0.0
P000249,0.077211,6,APROVAR,0.0265,36,0.21
P000250,0.336677,1,NEGAR,,,
P000251,0.137918,4,NEGAR,,,
P000252,0.122285,4,NEGAR,,,
P000253,0.037751,9,APROVAR,0.0236,36,0.0
P000254,0.084576,5,APROVAR,0.0282,24,0.21
P000255,0.119599,4,NEGAR,,,
P000256,0.285357,2,NEGAR,,,
P000257,0.047261,8,APROVAR,0.0247,24,0.0
P000258,0.058914,7,APROVAR,0.0256,60,0.0
P000259,0.202476,3,NEGAR,,,
P000260,0.110469,4,NEGAR,,,
P000261,0.066884,6,APROVAR,0.0265,36,0.21
P000262,0.082402,6,APROVAR,0.0265,60,0.21
P000263,0.239837,2,NEGAR,,,
P000264,0.053079,8,APROVAR,0.0247,60,0.0
P000265,0.21808,2,NEGAR,,,
P000266,0.036303,10,APROVAR,0.0227,36,0.0
P000267,0.03303,10,APROVAR,0.0227,48,0.0
P000268,0.030166,10,APROVAR,0.0227,60,0.0
P000269,0.080904,6,APROVAR,0.0265,24,0.21
P000270,0.060825,7,APROVAR,0.0256,48,0.0
P000271,0.029364,10,APROVAR,0.0227,36,0.0
P000272,0.261709,2,NEGAR,,,
P000273,0.081358,6,APROVAR,0.0265,36,0.21
P000274,0.479482,1,NEGAR,,,
P000275,0.212462,2,NEGAR,,,
P000276,0.044838,8,APROVAR,0.0247,36,0.0
P000277,0.034591,10,APROVAR,0.0227,36,0.0
P000278,0.073543,6,APROVAR,0.0265,48,0.21
P000279,0.042782,9,APROVAR,0.0236,36,0.0
P000280,0.337249,1,NEGAR,,,
P000281,0.329262,1,NEGAR,,,
P000282,0.220584,2,NEGAR,,,
P000283,0.032913,10,APROVAR,0.0227,36,0.0
P000284,0.045062,8,APROVAR,0.0247,24,0.0
P000285,0.127609,4,NEGAR,,,
P000286,0.085679,5,APROVAR,0.0282,60,0.21
P000287,0.494147,1,NEGAR,,,
P000288,0.332827,1,NEGAR,,,
P000289,0.0368,10,APROVAR,0.0227,36,0.0
P000290,0.04079,9,APROVAR,0.0236,48,0.0
P000291,0.199085,3,NEGAR,,,
P000292,0.078244,6,APROVAR,0.0265,60,0.21
P000293,0.062788,7,APROVAR,0.0256,36,0.0
P000294,0.040136,9,APROVAR,0.0236,48,0.0
P000295,0.027825,10,APROVAR,0.0227,36,0.0
P000296,0.100514,5,APROVAR,0.0282,60,0.21
P000297,0.150076,3,NEGAR,,,
P000298,0.419885,1,NEGAR,,,
P000299,0.189733,3,NEGAR,,,
P000300,0.387003,1,NEGAR,,,
P000301,0.035565,10,APROVAR,0.0227,36,0.0
P000302,0.058296,7,APROVAR,0.0256,36,0.0
P000303,0.233485,2,NEGAR,,,
P000304,0.038271,9,APROVAR,0.0236,48,0.0
P000305,0.293402,2,NEGAR,,,
P000306,0.033135,10,APROVAR,0.0227,36,0.0
P000307,0.074537,6,APROVAR,0.0265,48,0.21
P000308,0.074536,6,APROVAR,0.0265,36,0.21
P000309,0.201694,3,NEGAR,,,
P000310,0.071294,6,APROVAR,0.0265,60,0.21
P000311,0.099537,5,APROVAR,0.0282,48,0.21
P000312,0.040587,9,APROVAR,0.0236,60,0.0
P000313,0.070649,6,APROVAR,0.0265,48,0.21
P000314,0.396502,1,NEGAR,,,
P000315,0.090643,5,APROVAR,0.0282,48,0.21
P000316,0.551065,1,NEGAR,,,
P000317,0.110071,4,NEGAR,,,
P000318,0.135358,4,NEGAR,,,
P000319,0.043386,9,APROVAR,0.0236,36,0.0
P000320,0.072498,6,APROVAR,0.0265,48,0.21
P000321,0.188943,3,NEGAR,,,
P000322,0.448617,1,NEGAR,,,
P000323,0.231762,2,NEGAR,,,
P000324,0.034741,10,APROVAR,0.0227,60,0.0
P000325,0.28121,2,NEGAR,,,
P000326,0.056101,7,APROVAR,0.0256,48,0.0
P000327,0.340008,1,NEGAR,,,
P000328,0.387769,1,NEGAR,,,
P000329,0.233603,2,NEGAR,,,
P000330,0.090406,5,APROVAR,0.0282,24,0.21
P000331,0.471183,1,NEGAR,,,
P000332,0.097733,5,APROVAR,0.0282,36,0.21
P000333,0.0703,6,APROVAR,0.0265,48,0.21
P000334,0.050841,8,APROVAR,0.0247,24,0.0
P000335,0.310022,1,NEGAR,,,
P000336,0.266252,2,NEGAR,,,
P000337,0.095661,5,APROVAR,0.0282,24,0.21
P000338,0.044015,9,APROVAR,0.0236,60,0.0
P000339,0.031273,10,APROVAR,0.0227,36,0.0
P000340,0.072116,6,APROVAR,0.0265,36,0.21
P000341,0.197394,3,NEGAR,,,
P000342,0.076986,6,APROVAR,0.0265,48,0.21
P000343,0.063207,7,APROVAR,0.0256,48,0.0
P000344,0.041127,9,APROVAR,0.0236,60,0.0
P000345,0.024819,10,APROVAR,0.0227,60,0.0
P000346,0.119467,4,NEGAR,,,
P000347,0.04294,9,APROVAR,0.0236,24,0.0
P000348,0.058951,7,APROVAR,0.0256,48,0.0
P000349,0.047622,8,APROVAR,0.0247,48,0.0
P000350,0.034685,10,APROVAR,0.0227,60,0.0
P000351,0.226873,2,NEGAR,,,
P000352,0.60475,1,NEGAR,,,
P000353,0.264247,2,NEGAR,,,
P000354,0.396334,1,NEGAR,,,
P000355,0.053713,8,APROVAR,0.0247,60,0.0
P000356,0.330137,1,NEGAR,,,
P000357,0.053796,8,APROVAR,0.0247,48,0.0
P000358,0.054108,8,APROVAR,0.0247,60,0.0
P000359,0.062316,7,APROVAR,0.0256,48,0.0
P000360,0.052037,8,APROVAR,0.0247,24,0.0
P000361,0.029143,10,APROVAR,0.0227,60,0.0
P000362,0.089162,5,APROVAR,0.0282,24,0.21
P000363,0.285202,2,NEGAR,,,
P000364,0.207674,3,NEGAR,,,
P000365,0.040714,9,APROVAR,0.0236,48,0.0
P000366,0.066624,6,APROVAR,0.0265,48,0.21
P000367,0.201318,3,NEGAR,,,
P000368,0.045027,8,APROVAR,0.0247,36,0.0
P000369,0.043712,9,APROVAR,0.0236,24,0.0
P000370,0.257552,2,NEGAR,,,
P000371,0.556037,1,NEGAR,,,
P000372,0.078975,6,APROVAR,0.0265,24,0.21
P000373,0.234511,2,NEGAR,,,
P000374,0.051039,8,APROVAR,0.0247,48,0.0
P000375,0.189054,3,NEGAR,,,
P000376,0.079448,6,APROVAR,0.0265,48,0.21
P000377,0.035123,10,APROVAR,0.0227,48,0.0
P000378,0.192347,3,NEGAR,,,
P000379,0.053284,8,APROVAR,0.0247,24,0.0
P000380,0.271037,2,NEGAR,,,
P000381,0.164528,3,NEGAR,,,
P000382,0.035492,10,APROVAR,0.0227,48,0.0
P000383,0.296584,2,NEGAR,,,
P000384,0.088971,5,APROVAR,0.0282,48,0.21
P000385,0.039198,9,APROVAR,0.0236,48,0.0
P000386,0.103452,5,APROVAR,0.0282,48,0.21
P000387,0.190887,3,NEGAR,,,
P000388,0.3026,1,NEGAR,,,
P000389,0.380158,1,NEGAR,,,
P000390,0.028121,10,APROVAR,0.0227,48,0.0
P000391,0.047744,8,APROVAR,0.0247,48,0.0
P000392,0.101269,5,APROVAR,0.0282,60,0.21
P000393,0.071422,6,APROVAR,0.0265,60,0.21
P000394,0.148633,3,NEGAR,,,
P000395,0.153208,3,NEGAR,,,
P000396,0.425998,1,NEGAR,,,
P000397,0.074997,6,APROVAR,0.0265,48,0.21
P000398,0.042188,9,APROVAR,0.0236,48,0.0
P000399,0.207082,3,NEGAR,,,
P000400,0.263333,2,NEGAR,,,
P000401,0.061671,7,APROVAR,0.0256,60,0.0
P000402,0.037613,9,APROVAR,0.0236,24,0.0
P000403,0.048785,8,APROVAR,0.0247,48,0.0
P000404,0.364116,1,NEGAR,,,
P000405,0.096915,5,APROVAR,0.0282,48,0.21
P000406,0.090553,5,APROVAR,0.0282,48,0.21
P000407,0.225287,2,NEGAR,,,
P000408,0.05619,7,APROVAR,0.0256,36,0.0
P000409,0.036449,10,APROVAR,0.0227,60,0.0
P000410,0.028537,10,APROVAR,0.0227,48,0.0
P000411,0.037823,9,APROVAR,0.0236,60,0.0
P000412,0.274324,2,NEGAR,,,
P000413,0.240618,2,NEGAR,,,
P000414,0.080598,6,APROVAR,0.0265,60,0.21
P000415,0.079284,6,APROVAR,0.0265,24,0.21
P000416,0.116676,4,NEGAR,,,
P000417,0.028699,10,APROVAR,0.0227,60,0.0
P000418,0.216164,2,NEGAR,,,
P000419,0.288897,2,NEGAR,,,
P000420,0.039767,9,APROVAR,0.0236,48,0.0
P000421,0.055132,7,APROVAR,0.0256,36,0.0
P000422,0.065864,7,APROVAR,0.0256,24,0.0
P000423,0.220346,2,NEGAR,,,
P000424,0.262295,2,NEGAR,,,
P000425,0.316653,1,NEGAR,,,
P000426,0.022184,10,APROVAR,0.0227,24,0.0
P000427,0.620258,1,NEGAR,,,
P000428,0.319262,1,NEGAR,,,
P000429,0.085558,5,APROVAR,0.0282,48,0.21
P000430,0.402894,1,NEGAR,,,
P000431,0.202814,3,NEGAR,,,
P000432,0.087951,5,APROVAR,0.0282,48,0.21
P000433,0.085559,5,APROVAR,0.0282,48,0.21
P000434,0.084294,5,APROVAR,0.0282,48,0.21
P000435,0.184313,3,NEGAR,,,
P000436,0.205044,3,NEGAR,,,
P000437,0.580404,1,NEGAR,,,
P000438,0.025044,10,APROVAR,0.0227,48,0.0
P000439,0.037054,9,APROVAR,0.0236,24,0.0
P000440,0.048995,8,APROVAR,0.0247,48,0.0
P000441,0.321812,1,NEGAR,,,
P000442,0.180214,3,NEGAR,,,
P000443,0.096265,5,APROVAR,0.0282,36,0.21
P000444,0.36888,1,NEGAR,,,
P000445,0.127109,4,NEGAR,,,
P000446,0.105465,5,APROVAR,0.0282,24,0.21
P000447,0.847901,1,NEGAR,,,
P000448,0.238918,2,NEGAR,,,
P000449,0.182393,3,NEGAR,,,
P000450,0.037779,9,APROVAR,0.0236,36,0.0
P000451,0.244448,2,NEGAR,,,
P000452,0.272059,2,NEGAR,,,
P000453,0.469965,1,NEGAR,,,
P000454,0.109032,4,NEGAR,,,
P000455,0.058882,7,APROVAR,0.0256,48,0.0
P000456,0.568901,1,NEGAR,,,
P000457,0.278278,2,NEGAR,,,
P000458,0.25851,2,NEGAR,,,
P000459,0.040209,9,APROVAR,0.0236,24,0.0
P000460,0.085138,5,APROVAR,0.0282,36,0.21
P000461,0.068577,6,APROVAR,0.0265,36,0.21
P000462,0.035784,10,APROVAR,0.0227,36,0.0
P000463,0.036724,10,APROVAR,0.0227,24,0.0
P000464,0.067183,6,APROVAR,0.0265,24,0.21
P000465,0.529577,1,NEGAR,,,
P000466,0.151869,3,NEGAR,,,
P000467,0.149655,3,NEGAR,,,
P000468,0.034549,10,APROVAR,0.0227,48,0.0
P000469,0.090242,5,APROVAR,0.0282,48,0.21
P000470,0.494419,1,NEGAR,,,
P000471,0.06323,7,APROVAR,0.0256,48,0.0
P000472,0.05047,8,APROVAR,0.0247,60,0.0
P000473,0.138111,4,NEGAR,,,
P000474,0.049072,8,APROVAR,0.0247,24,0.0
P000475,0.190985,3,NEGAR,,,
P000476,0.024216,10,APROVAR,0.0227,36,0.0
P000477,0.120332,4,NEGAR,,,
P000478,0.371837,1,NEGAR,,,
P000479,0.196886,3,NEGAR,,,
P000480,0.061705,7,APROVAR,0.0256,24,0.0
P000481,0.233961,2,NEGAR,,,
P000482,0.084225,5,APROVAR,0.0282,60,0.21
P000483,0.057887,7,APROVAR,0.0256,48,0.0
P000484,0.038445,9,APROVAR,0.0236,60,0.0
P000485,0.239825,2,NEGAR,,,
P000486,0.172372,3,NEGAR,,,
P000487,0.128513,4,NEGAR,,,
P000488,0.215245,2,NEGAR,,,
P000489,0.149918,3,NEGAR,,,
P000490,0.25614,2,NEGAR,,,
P000491,0.070407,6,APROVAR,0.0265,48,0.21
P000492,0.155516,3,NEGAR,,,
P000493,0.187916,3,NEGAR,,,
P000494,0.451558,1,NEGAR,,,
P000495,0.082827,6,APROVAR,0.0265,48,0.21
P000496,0.504162,1,NEGAR,,,
P000497,0.043564,9,APROVAR,0.0236,48,0.0
P000498,0.098366,5,APROVAR,0.0282,24,0.21
P000499,0.156523,3,NEGAR,,,
P000500,0.144621,3,NEGAR,,,
P000501,0.121053,4,NEGAR,,,
P000502,0.062657,7,APROVAR,0.0256,24,0.0
P000503,0.034175,10,APROVAR,0.0227,60,0.0
P000504,0.237893,2,NEGAR,,,
P000505,0.198394,3,NEGAR,,,
P000506,0.104375,5,APROVAR,0.0282,36,0.21
P000507,0.040906,9,APROVAR,0.0236,36,0.0
P000508,0.195548,3,NEGAR,,,
P000509,0.359716,1,NEGAR,,,
P000510,0.221917,2,NEGAR,,,
P000511,0.121709,4,NEGAR,,,
P000512,0.278406,2,NEGAR,,,
P000513,0.032202,10,APROVAR,0.0227,60,0.0
P000514,0.042242,9,APROVAR,0.0236,24,0.0
P000515,0.050068,8,APROVAR,0.0247,48,0.0
P000516,0.052703,8,APROVAR,0.0247,24,0.0
P000517,0.167258,3,NEGAR,,,
P000518,0.060648,7,APROVAR,0.0256,60,0.0
P000519,0.243653,2,NEGAR,,,
P000520,0.176451,3,NEGAR,,,
P000521,0.109937,4,NEGAR,,,
P000522,0.136594,4,NEGAR,,,
P000523,0.230484,2,NEGAR,,,
P000524,0.237258,2,NEGAR,,,
P000525,0.040807,9,APROVAR,0.0236,36,0.0
P000526,0.076951,6,APROVAR,0.0265,48,0.21
P000527,0.249664,2,NEGAR,,,
P000528,0.03339,10,APROVAR,0.0227,24,0.0
P000529,0.118754,4,NEGAR,,,
P000530,0.177828,3,NEGAR,,,
P000531,0.048438,8,APROVAR,0.0247,48,0.0
P000532,0.095302,5,APROVAR,0.0282,36,0.21
P000533,0.066783,6,APROVAR,0.0265,48,0.21
P000534,0.049296,8,APROVAR,0.0247,48,0.0
P000535,0.114884,4,NEGAR,,,
P000536,0.039853,9,APROVAR,0.0236,24,0.0
P000537,0.117959,4,NEGAR,,,
P000538,0.661883,1,NEGAR,,,
P000539,0.13298,4,NEGAR,,,
P000540,0.044504,9,APROVAR,0.0236,36,0.0
P000541,0.300806,2,NEGAR,,,
P000542,0.682627,1,NEGAR,,,
P000543,0.657776,1,NEGAR,,,
P000544,0.228812,2,NEGAR,,,
P000545,0.077901,6,APROVAR,0.0265,36,0.21
P000546,0.254137,2,NEGAR,,,
P000547,0.15236,3,NEGAR,,,
P000548,0.318106,1,NEGAR,,,
P000549,0.030277,10,APROVAR,0.0227,60,0.0
P000550,0.24912,2,NEGAR,,,
P000551,0.278439,2,NEGAR,,,
P000552,0.090707,5,APROVAR,0.0282,48,0.21
P000553,0.104822,5,APROVAR,0.0282,24,0.21
P000554,0.288295,2,NEGAR,,,
P000555,0.270909,2,NEGAR,,,
P000556,0.06539,7,APROVAR,0.0256,36,0.0
P000557,0.038022,9,APROVAR,0.0236,48,0.0
P000558,0.027072,10,APROVAR,0.0227,24,0.0
P000559,0.367519,1,NEGAR,,,
P000560,0.04233,9,APROVAR,0.0236,60,0.0
P000561,0.060607,7,APROVAR,0.0256,60,0.0
P000562,0.248726,2,NEGAR,,,
P000563,0.069824,6,APROVAR,0.0265,48,0.21
P000564,0.146399,3,NEGAR,,,
P000565,0.03574,10,APROVAR,0.0227,36,0.0
P000566,0.383787,1,NEGAR,,,
P000567,0.055977,7,APROVAR,0.0256,60,0.0
P000568,0.046606,8,APROVAR,0.0247,24,0.0
P000569,0.171384,3,NEGAR,,,
P000570,0.033815,10,APROVAR,0.0227,60,0.0
P000571,0.034223,10,APROVAR,0.0227,36,0.0
P000572,0.277334,2,NEGAR,,,
P000573,0.079741,6,APROVAR,0.0265,36,0.21
P000574,0.069876,6,APROVAR,0.0265,48,0.21
P000575,0.417756,1,NEGAR,,,
P000576,0.077873,6,APROVAR,0.0265,60,0.21
P000577,0.238602,2,NEGAR,,,
P000578,0.391467,1,NEGAR,,,
P000579,0.073424,6,APROVAR,0.0265,48,0.21
