id_contrato,pd
T000336,0.046102
T000337,0.039608
T000338,0.044798
T000339,0.023838
T000340,0.183552
T000341,0.051342
T000342,0.042481
T000343,0.073096
T000344,0.034152
T000345,0.100654
T000346,0.033234
T000347,0.060147
T000348,0.164883
T000349,0.038571
T000350,0.058654
T000351,0.023642
T000352,0.04262
T000353,0.033482
T000354,0.031073
T000355,0.096934
T000356,0.055263
T000357,0.060203
T000358,0.040198
T000359,0.058425
T000360,0.051315
T000361,0.040641
T000362,0.034982
T000363,0.036513
T000364,0.094139
T000365,0.043758
T000366,0.026386
T000367,0.030543
T000368,0.037208
T000369,0.285438
T000370,0.038607
T000371,0.150739
T000372,0.049024
T000373,0.050872
T000374,0.035604
T000375,0.063485
T000376,0.055788
T000377,0.047765
T000378,0.055028
T000379,0.027606
T000380,0.045631
T000381,0.043316
T000382,0.031485
T000383,0.052741
T000384,0.225684
T000385,0.053816
T000386,0.036003
T000387,0.237692
T000388,0.035623
T000389,0.053746
T000390,0.105308
T000391,0.165917
T000392,0.087625
T000393,0.056823
T000394,0.04015
T000395,0.047458
T000396,0.073323
T000397,0.027019
T000398,0.142935
T000399,0.126795
T000400,0.029881
T000401,0.058196
T000402,0.089404
T000403,0.117501
T000404,0.02525
T000405,0.174016
T000406,0.058651
T000407,0.050033
T000408,0.037794
T000409,0.0621
T000410,0.097931
T000411,0.040033
T000412,0.095383
T000413,0.040216
T000414,0.031738
T000415,0.041356
T000416,0.230232
T000417,0.090164
T000418,0.025289
T000419,0.053983
T000420,0.127727
T000421,0.098964
T000422,0.054371
T000423,0.30986
T000424,0.093696
T000425,0.034748
T000426,0.078509
T000427,0.032753
T000428,0.044122
T000429,0.114858
T000430,0.063965
T000431,0.044222
T000432,0.198807
T000433,0.077248
T000434,0.049792
T000435,0.136143
T000436,0.102779
T000437,0.060046
T000438,0.024066
T000439,0.032832
T000440,0.050533
T000441,0.05152
T000442,0.030673
T000443,0.169595
T000444,0.047241
T000445,0.06947
T000446,0.041013
T000447,0.081107
T000448,0.052339
T000449,0.034643
T000450,0.030135
T000451,0.086233
T000452,0.065162
T000453,0.062584
T000454,0.064572
T000455,0.150955
T000456,0.053967
T000457,0.036747
T000458,0.037724
T000459,0.052224
T000460,0.028671
T000461,0.094492
T000462,0.029261
T000463,0.062232
T000464,0.033113
T000465,0.133029
T000466,0.048882
T000467,0.035483
T000468,0.033674
T000469,0.040181
T000470,0.040839
T000471,0.089996
T000472,0.048288
T000473,0.038529
T000474,0.049417
T000475,0.035758
T000476,0.077349
T000477,0.034046
T000478,0.05118
T000479,0.236222
T000480,0.041755
T000481,0.043008
T000482,0.032999
T000483,0.046666
T000484,0.027617
T000485,0.162517
T000486,0.036755
T000487,0.033036
T000488,0.030835
T000489,0.048398
T000490,0.282365
T000491,0.089654
T000492,0.081159
T000493,0.023589
T000494,0.047254
T000495,0.191284
T000496,0.075031
T000497,0.071988
T000498,0.062021
T000499,0.041369
T000500,0.04441
T000501,0.040733
T000502,0.030705
T000503,0.039173
T000504,0.055724
T000505,0.040365
T000506,0.040038
T000507,0.195937
T000508,0.219201
T000509,0.304869
T000510,0.041465
T000511,0.04917
T000512,0.048227
T000513,0.126057
T000514,0.064453
T000515,0.104072
T000516,0.038781
T000517,0.03577
T000518,0.153327
T000519,0.127331
T000520,0.028729
T000521,0.131166
T000522,0.034453
T000523,0.05672
T000524,0.029146
T000525,0.023053
T000526,0.031912
T000527,0.076284
T000528,0.075628
T000529,0.15991
T000530,0.178737
T000531,0.134516
T000532,0.098056
T000533,0.041559
T000534,0.039532
T000535,0.078107
T000536,0.040854
T000537,0.054259
T000538,0.083265
T000539,0.041179
T000540,0.096796
T000541,0.066166
T000542,0.053889
T000543,0.040223
T000544,0.058431
T000545,0.047128
T000546,0.038394
T000547,0.066248
T000548,0.040871
T000549,0.035757
T000550,0.422113
T000551,0.038966
T000552,0.027799
T000553,0.068612
T000554,0.073215
T000555,0.044397
T000556,0.059971
T000557,0.103407
T000558,0.029431
T000559,0.072959
T000560,0.213852
T000561,0.345928
T000562,0.084062
T000563,0.250631
T000564,0.023989
T000565,0.029836
T000566,0.091072
T000567,0.041163
T000568,0.050985
T000569,0.060656
T000570,0.06336
T000571,0.051323
T000572,0.057579
T000573,0.038678
T000574,0.069807
T000575,0.029482
T000576,0.035174
T000577,0.197789
T000578,0.097494
T000579,0.04075
T000580,0.029558
T000581,0.197435
T000582,0.313694
T000583,0.031532
T000584,0.173451
T000585,0.050833
T000586,0.039199
T000587,0.032524
T000588,0.031464
T000589,0.075801
T000590,0.027131
T000591,0.050998
T000592,0.056546
T000593,0.05653
T000594,0.034835
T000595,0.048639
T000596,0.12774
T000597,0.030145
T000598,0.24578
T000599,0.05752
T000600,0.063534
T000601,0.088953
T000602,0.052286
T000603,0.035428
T000604,0.027596
T000605,0.065987
T000606,0.045909
T000607,0.040142
T000608,0.06301
T000609,0.13832
T000610,0.248686
T000611,0.082536
T000612,0.191449
T000613,0.044639
T000614,0.022938
T000615,0.104188
T000616,0.221759
T000617,0.03315
T000618,0.098427
T000619,0.063006
T000620,0.106632
T000621,0.103689
T000622,0.419676
T000623,0.041145
T000624,0.112622
T000625,0.10967
T000626,0.066914
T000627,0.046078
T000628,0.350047
T000629,0.120627
T000630,0.042623
T000631,0.037525
T000632,0.042965
T000633,0.127831
T000634,0.040852
T000635,0.033894
T000636,0.118797
T000637,0.136152
T000638,0.038192
T000639,0.060253
T000640,0.019585
T000641,0.049068
T000642,0.159249
T000643,0.034634
T000644,0.053908
T000645,0.034366
T000646,0.031087
T000647,0.046962
T000648,0.042594
T000649,0.067379
T000650,0.030115
T000651,0.32659
T000652,0.042504
T000653,0.089218
T000654,0.031066
T000655,0.037697
T000656,0.047719
T000657,0.25193
T000658,0.038115
T000659,0.068743
T000660,0.167192
T000661,0.040256
T000662,0.080155
T000663,0.094032
T000664,0.040025
T000665,0.141795
T000666,0.045834
T000667,0.049538
T000668,0.053147
T000669,0.048049
T000670,0.040132
T000671,0.138745
T000672,0.046462
T000673,0.041273
T000674,0.088185
T000675,0.065301
T000676,0.030743
T000677,0.115464
T000678,0.039772
T000679,0.167238
T000680,0.033918
T000681,0.020334
T000682,0.038059
T000683,0.072889
T000684,0.052542
T000685,0.086565
T000686,0.048838
T000687,0.038099
T000688,0.222531
T000689,0.035921
T000690,0.042964
T000691,0.089186
T000692,0.052767
T000693,0.021559
T000694,0.028613
T000695,0.285879
T000696,0.034504
T000697,0.028077
T000698,0.080654
T000699,0.031454
T000700,0.163659
T000701,0.062104
T000702,0.036589
T000703,0.109443
T000704,0.035806
T000705,0.030401
T000706,0.431712
T000707,0.030777
T000708,0.232123
T000709,0.030426
T000710,0.073302
T000711,0.079303
T000712,0.046724
T000713,0.034584
T000714,0.032461
T000715,0.0444
T000716,0.025836
T000717,0.064985
T000718,0.106761
T000719,0.078204
T000720,0.042937
T000721,0.070002
T000722,0.085847
T000723,0.051376
T000724,0.095227
T000725,0.053395
T000726,0.151959
T000727,0.046254
T000728,0.076488
T000729,0.128574
T000730,0.028815
T000731,0.035811
T000732,0.045509
T000733,0.036061
T000734,0.17033
T000735,0.226467
T000736,0.131223
T000737,0.211919
T000738,0.046799
T000739,0.032831
T000740,0.069836
T000741,0.04578
T000742,0.049815
T000743,0.09071
T000744,0.058326
T000745,0.060489
T000746,0.058171
T000747,0.082347
T000748,0.056903
T000749,0.041192
T000750,0.078232
T000751,0.039183
T000752,0.417419
T000753,0.059943
T000754,0.082363
T000755,0.031578
T000756,0.034668
T000757,0.048385
T000758,0.036551
T000759,0.038562
T000760,0.047713
T000761,0.053611
T000762,0.03654
T000763,0.029954
T000764,0.155564
T000765,0.047905
T000766,0.263049
T000767,0.23345
T000768,0.139335
T000769,0.146076
T000770,0.140639
T000771,0.100136
T000772,0.11095
T000773,0.039596
T000774,0.038975
T000775,0.034057
T000776,0.058335
T000777,0.046789
T000778,0.044154
T000779,0.050881
T000780,0.040021
T000781,0.057573
T000782,0.025314
T000783,0.067551
T000784,0.06682
T000785,0.037763
T000786,0.038828
T000787,0.257365
T000788,0.048151
T000789,0.037658
T000790,0.047308
T000791,0.032695
T000792,0.044981
T000793,0.055787
T000794,0.112799
T000795,0.107994
T000796,0.041907
T000797,0.027184
T000798,0.056526
T000799,0.065433
T000800,0.066917
T000801,0.032569
T000802,0.05208
T000803,0.036032
T000804,0.053536
T000805,0.047929
T000806,0.08051
T000807,0.119213
T000808,0.065073
T000809,0.033297
T000810,0.048257
T000811,0.217759
T000812,0.107241
T000813,0.262263
T000814,0.052536
T000815,0.042086
T000816,0.114426
T000817,0.054906
T000818,0.045615
T000819,0.088999
T000820,0.10215
T000821,0.15311
T000822,0.045071
T000823,0.080227
T000824,0.034634
T000825,0.041331
T000826,0.068746
T000827,0.044305
T000828,0.042054
T000829,0.048081
T000830,0.104343
T000831,0.046445
T000832,0.033495
T000833,0.062009
T000834,0.061934
T000835,0.029763
T000836,0.024655
T000837,0.053023
T000838,0.031928
T000839,0.039661
T000840,0.041986
T000841,0.044517
T000842,0.063389
T000843,0.043455
T000844,0.132211
T000845,0.027536
T000846,0.313989
T000847,0.028972
T000848,0.073569
T000849,0.047596
T000850,0.119879
T000851,0.054366
T000852,0.02823
T000853,0.049771
T000854,0.040253
T000855,0.181728
T000856,0.03263
T000857,0.0334
T000858,0.147544
T000859,0.63135
T000860,0.031398
T000861,0.034222
T000862,0.054465
T000863,0.082706
T000864,0.040027
T000865,0.038193
T000866,0.106314
T000867,0.032037
T000868,0.060174
T000869,0.163373
T000870,0.219923
T000871,0.048808
T000872,0.058545
T000873,0.04646
T000874,0.208522
T000875,0.053893
T000876,0.071773
T000877,0.052741
T000878,0.055456
T000879,0.334057
T000880,0.034233
T000881,0.04012
T000882,0.038025
T000883,0.335419
T000884,0.105565
T000885,0.070504
T000886,0.034491
T000887,0.03779
T000888,0.1136
T000889,0.092164
T000890,0.043648
T000891,0.165457
T000892,0.067477
T000893,0.071119
T000894,0.036597
T000895,0.065621
T000896,0.060696
T000897,0.057424
T000898,0.125337
T000899,0.050101
T000900,0.032935
T000901,0.054106
T000902,0.022052
T000903,0.021683
T000904,0.040938
T000905,0.164443
T000906,0.123307
T000907,0.031841
T000908,0.059054
T000909,0.050527
T000910,0.059985
T000911,0.049884
T000912,0.029841
T000913,0.068548
T000914,0.056052
T000915,0.048094
T000916,0.026973
T000917,0.060424
T000918,0.034376
T000919,0.208461
T000920,0.25498
T000921,0.108892
T000922,0.037927
T000923,0.044759
T000924,0.08209
T000925,0.035529
T000926,0.056056
T000927,0.626371
T000928,0.103114
T000929,0.049574
T000930,0.03607
T000931,0.02788
T000932,0.169019
T000933,0.037793
T000934,0.049223
T000935,0.142031
T000936,0.028312
T000937,0.058358
T000938,0.043262
T000939,0.03098
T000940,0.064122
T000941,0.043019
T000942,0.085964
T000943,0.06228
T000944,0.354759
T000945,0.030723
T000946,0.044244
T000947,0.142293
T000948,0.034924
T000949,0.029455
T000950,0.027331
T000951,0.034261
T000952,0.029168
T000953,0.038042
T000954,0.324857
T000955,0.036833
T000956,0.037639
T000957,0.128673
T000958,0.120651
T000959,0.064233
T000960,0.026079
T000961,0.203401
T000962,0.031612
T000963,0.7007
T000964,0.05189
T000965,0.041651
T000966,0.068952
T000967,0.036431
T000968,0.062902
T000969,0.059414
T000970,0.045884
T000971,0.036019
T000972,0.046043
T000973,0.0341
T000974,0.093051
T000975,0.069736
T000976,0.049117
T000977,0.159051
T000978,0.040498
T000979,0.051752
T000980,0.116012
T000981,0.232305
T000982,0.055414
T000983,0.069353
T000984,0.030824
T000985,0.049381
T000986,0.036755
T000987,0.096604
T000988,0.04175
T000989,0.037256
T000990,0.031781
T000991,0.214537
T000992,0.046644
T000993,0.026235
T000994,0.115974
T000995,0.053042
T000996,0.056851
T000997,0.061884
T000998,0.058655
T000999,0.041404
T001000,0.085901
T001001,0.066621
T001002,0.207326
T001003,0.159138
T001004,0.155131
T001005,0.034211
T001006,0.079755
T001007,0.164795
T001008,0.035122
T001009,0.112363
T001010,0.037316
T001011,0.042155
T001012,0.052536
T001013,0.081202
T001014,0.041827
T001015,0.052442
T001016,0.219548
T001017,0.051053
T001018,0.103821
T001019,0.112062
T001020,0.060268
T001021,0.275524
T001022,0.084635
T001023,0.121279
T001024,0.03764
T001025,0.079791
T001026,0.056178
T001027,0.105755
T001028,0.308907
T001029,0.075684
T001030,0.058398
T001031,0.069849
T001032,0.04645
T001033,0.19108
T001034,0.106659
T001035,0.183642
T001036,0.045446
T001037,0.029622
T001038,0.027204
T001039,0.0402
T001040,0.061041
T001041,0.046588
T001042,0.208588
T001043,0.293027
T001044,0.065493
T001045,0.031596
T001046,0.026883
T001047,0.093676
T001048,0.0785
T001049,0.036078
T001050,0.068954
T001051,0.042029
T001052,0.07417
T001053,0.053985
T001054,0.021441
T001055,0.030916
T001056,0.029716
T001057,0.057008
T001058,0.044592
T001059,0.036808
T001060,0.281959
T001061,0.131513
T001062,0.055828
T001063,0.040899
T001064,0.165637
T001065,0.079047
T001066,0.161296
T001067,0.079024
T001068,0.058061
T001069,0.088091
T001070,0.255601
T001071,0.10585
T001072,0.385499
T001073,0.051718
T001074,0.02692
T001075,0.069617
T001076,0.181106
T001077,0.067456
T001078,0.032097
T001079,0.241038
T001080,0.036328
T001081,0.165363
T001082,0.099792
T001083,0.083531
T001084,0.043319
T001085,0.018763
T001086,0.139052
T001087,0.028937
T001088,0.040441
T001089,0.133622
T001090,0.039591
T001091,0.03541
T001092,0.096236
T001093,0.032027
T001094,0.055806
T001095,0.0286
T001096,0.029782
T001097,0.040961
T001098,0.18385
T001099,0.040103
T001100,0.063612
T001101,0.418827
T001102,0.102218
T001103,0.04948
T001104,0.034425
T001105,0.130994
T001106,0.053892
T001107,0.023232
T001108,0.056179
T001109,0.066561
T001110,0.041603
T001111,0.039986
T001112,0.051981
T001113,0.080644
T001114,0.055918
T001115,0.040016
T001116,0.159628
T001117,0.029131
T001118,0.082822
T001119,0.028847
T001120,0.040797
T001121,0.073905
T001122,0.036047
T001123,0.028957
T001124,0.032855
T001125,0.068933
T001126,0.041231
T001127,0.082815
T001128,0.037091
T001129,0.027563
T001130,0.026774
T001131,0.045784
T001132,0.101319
T001133,0.058973
T001134,0.045448
T001135,0.034044
T001136,0.206664
T001137,0.058631
T001138,0.034854
T001139,0.1171
T001140,0.046405
T001141,0.027957
T001142,0.041783
T001143,0.083384
T001144,0.041179
T001145,0.053998
T001146,0.04301
T001147,0.0481
T001148,0.613505
T001149,0.065611
T001150,0.092261
T001151,0.073871
T001152,0.038759
T001153,0.161336
T001154,0.106445
T001155,0.034854
T001156,0.031569
T001157,0.047325
T001158,0.057137
T001159,0.298976
T001160,0.058359
T001161,0.202203
T001162,0.066329
T001163,0.122681
T001164,0.063255
T001165,0.072591
T001166,0.061768
T001167,0.172329
T001168,0.054019
T001169,0.107649
T001170,0.053566
T001171,0.158189
T001172,0.166983
T001173,0.101102
T001174,0.053239
T001175,0.098772
T001176,0.077579
T001177,0.036256
T001178,0.05784
T001179,0.041242
T001180,0.044445
T001181,0.040588
T001182,0.104935
T001183,0.061767
T001184,0.028555
T001185,0.060228
T001186,0.031701
T001187,0.042652
T001188,0.043998
T001189,0.032317
T001190,0.041415
T001191,0.059518
T001192,0.06273
T001193,0.53906
T001194,0.063564
T001195,0.04725
T001196,0.043249
T001197,0.036033
T001198,0.034879
T001199,0.08031
T001200,0.033616
T001201,0.028199
T001202,0.039098
T001203,0.04518
T001204,0.060199
T001205,0.032862
T001206,0.035602
T001207,0.579652
T001208,0.036388
T001209,0.03371
T001210,0.044461
T001211,0.078615
T001212,0.076015
T001213,0.088855
T001214,0.031224
T001215,0.052923
T001216,0.10407
T001217,0.309047
T001218,0.075146
T001219,0.044632
T001220,0.040968
T001221,0.068303
T001222,0.041718
T001223,0.21083
T001224,0.027717
T001225,0.078896
T001226,0.043916
T001227,0.029591
T001228,0.083935
T001229,0.07031
T001230,0.092235
T001231,0.040305
T001232,0.03735
T001233,0.085054
T001234,0.039751
T001235,0.125053
T001236,0.046936
T001237,0.11259
T001238,0.141484
T001239,0.023001
T001240,0.064022
T001241,0.074003
T001242,0.153046
T001243,0.107358
T001244,0.093869
T001245,0.031811
T001246,0.025815
T001247,0.03668
T001248,0.060531
T001249,0.06438
T001250,0.038044
T001251,0.04897
T001252,0.124498
T001253,0.052296
T001254,0.101266
T001255,0.038686
T001256,0.110593
T001257,0.040064
T001258,0.024842
T001259,0.089382
T001260,0.039784
T001261,0.039167
T001262,0.144612
T001263,0.035906
T001264,0.03714
T001265,0.045965
T001266,0.333742
T001267,0.047547
T001268,0.057822
T001269,0.056567
T001270,0.051635
T001271,0.090474
T001272,0.036493
T001273,0.04753
T001274,0.070585
T001275,0.036387
T001276,0.042342
T001277,0.097035
T001278,0.038423
T001279,0.080072
T001280,0.034787
T001281,0.042528
T001282,0.040134
T001283,0.043216
T001284,0.049755
T001285,0.04316
T001286,0.063553
T001287,0.053658
T001288,0.025071
T001289,0.131791
T001290,0.03911
T001291,0.051172
T001292,0.036371
T001293,0.04837
T001294,0.075448
T001295,0.028911
T001296,0.060009
T001297,0.049608
T001298,0.04169
T001299,0.053318
T001300,0.028052
T001301,0.050461
T001302,0.066863
T001303,0.039586
T001304,0.055933
T001305,0.034456
T001306,0.093357
T001307,0.075532
T001308,0.076691
T001309,0.034159
T001310,0.083853
T001311,0.035659
T001312,0.04525
T001313,0.033422
T001314,0.033487
T001315,0.060066
T001316,0.143661
T001317,0.052301
T001318,0.047273
T001319,0.033565
T001320,0.054374
T001321,0.048684
T001322,0.104188
T001323,0.04058
T001324,0.126928
T001325,0.061838
T001326,0.057872
T001327,0.034832
T001328,0.053529
T001329,0.034791
T001330,0.05708
T001331,0.068979
T001332,0.068451
T001333,0.038787
T001334,0.0368
T001335,0.040028
T001336,0.02432
T001337,0.035974
T001338,0.06856
T001339,0.036803
T001340,0.046143
T001341,0.142937
T001342,0.063175
T001343,0.049167
T001344,0.050446
T001345,0.072152
T001346,0.032651
T001347,0.029946
T001348,0.046618
T001349,0.037338
T001350,0.049836
T001351,0.069119
T001352,0.234758
T001353,0.200177
T001354,0.069758
T001355,0.065637
T001356,0.058616
T001357,0.125387
T001358,0.031912
T001359,0.041545
T001360,0.032411
T001361,0.036531
T001362,0.019731
T001363,0.087675
T001364,0.058197
T001365,0.025562
T001366,0.038607
T001367,0.060317
T001368,0.043573
T001369,0.053333
T001370,0.046321
T001371,0.06315
T001372,0.055684
T001373,0.07994
T001374,0.128248
T001375,0.020916
T001376,0.406715
T001377,0.154579
T001378,0.036443
T001379,0.059354
T001380,0.036813
T001381,0.045773
T001382,0.042478
T001383,0.077105
T001384,0.077718
T001385,0.060697
T001386,0.043169
T001387,0.093599
T001388,0.038455
T001389,0.077336
T001390,0.050472
T001391,0.033057
T001392,0.131474
T001393,0.060314
T001394,0.119128
T001395,0.09839
T001396,0.048934
T001397,0.10785
T001398,0.063029
T001399,0.031494
T001400,0.033263
T001401,0.04403
T001402,0.033789
T001403,0.05391
T001404,0.041815
T001405,0.098816
T001406,0.147142
T001407,0.151511
T001408,0.044527
T001409,0.036959
T001410,0.088094
T001411,0.058011
T001412,0.046453
T001413,0.02301
T001414,0.04373
T001415,0.086774
T001416,0.048793
T001417,0.049698
T001418,0.025685
T001419,0.044441
T001420,0.154064
T001421,0.09348
T001422,0.061375
T001423,0.042158
T001424,0.052244
T001425,0.074615
T001426,0.027939
T001427,0.085495
T001428,0.035783
T001429,0.050365
T001430,0.025643
T001431,0.052651
T001432,0.026437
T001433,0.040245
T001434,0.097965
T001435,0.055086
T001436,0.238418
T001437,0.258042
T001438,0.036796
T001439,0.075354
T001440,0.040922
T001441,0.055888
T001442,0.135177
T001443,0.063473
T001444,0.101107
T001445,0.023772
T001446,0.030369
T001447,0.086294
T001448,0.033334
T001449,0.032475
T001450,0.035409
T001451,0.155623
T001452,0.355666
T001453,0.088445
T001454,0.407155
T001455,0.054318
T001456,0.041805
T001457,0.030631
T001458,0.062228
T001459,0.072704
T001460,0.026901
T001461,0.033179
T001462,0.059635
T001463,0.09547
T001464,0.285884
T001465,0.060078
T001466,0.07133
T001467,0.075632
T001468,0.076663
T001469,0.057394
T001470,0.063153
T001471,0.028378
T001472,0.1435
T001473,0.040477
T001474,0.092077
T001475,0.053851
T001476,0.03389
T001477,0.044515
T001478,0.095873
T001479,0.233655
T001480,0.053073
T001481,0.036117
T001482,0.098642
T001483,0.23191
T001484,0.101584
T001485,0.103002
T001486,0.043889
T001487,0.167835
T001488,0.049049
T001489,0.050337
T001490,0.231605
T001491,0.039346
T001492,0.062121
T001493,0.07681
T001494,0.037263
T001495,0.028635
T001496,0.059651
T001497,0.106228
T001498,0.036954
T001499,0.062887
T001500,0.025134
T001501,0.075712
T001502,0.099345
T001503,0.052846
T001504,0.063648
T001505,0.0423
T001506,0.296038
T001507,0.128411
T001508,0.058288
T001509,0.035672
T001510,0.142485
T001511,0.039941
T001512,0.022835
T001513,0.074535
T001514,0.06148
T001515,0.047178
T001516,0.043297
T001517,0.042891
T001518,0.045572
T001519,0.047472
T001520,0.15333
T001521,0.037469
T001522,0.11382
T001523,0.031355
T001524,0.041088
T001525,0.060595
T001526,0.046956
T001527,0.114148
T001528,0.020473
T001529,0.035294
T001530,0.060607
T001531,0.035976
T001532,0.026631
T001533,0.062769
T001534,0.040683
T001535,0.111394
T001536,0.035521
T001537,0.081221
T001538,0.030046
T001539,0.032731
T001540,0.036971
T001541,0.209896
T001542,0.035327
T001543,0.043974
T001544,0.031838
T001545,0.079169
T001546,0.04538
T001547,0.081566
T001548,0.035701
T001549,0.046902
T001550,0.03867
T001551,0.083784
T001552,0.101549
T001553,0.135329
