id_proposta,faixa,valor_financiado,pd,fator_ead,ead,lgd,perda_esperada,perda_pct
P000136,2,20666.88,0.235437,1.041,21514.22208,0.832587,4217.247709,0.204058
P000137,2,21560.0,0.231857,1.002,21603.12,0.600587,3008.235519,0.139529
P000138,1,24644.7,0.463088,1.04,25630.488,0.667587,7923.700996,0.321517
P000139,3,46787.75,0.148171,1.027,48051.01925,0.679587,4838.514059,0.103414
P000140,3,44039.25,0.207751,1.02,44920.035,0.640587,5978.063842,0.135744
P000141,2,32551.68,0.262038,1.04,33853.7472,0.832587,7385.845977,0.226896
P000142,4,38942.26,0.11684,1.02,39721.1052,0.915587,4249.244012,0.109117
P000143,5,7570.17,0.096825,1.04,7872.9768,0.427587,325.948101,0.043057
P000144,1,21560.0,0.540656,1.042,22465.52,0.844587,10258.446206,0.475809
P000145,6,20644.28,0.073371,1.02,21057.1656,0.832587,1286.335909,0.06231
P000146,3,14284.6,0.14289,1.027,14670.2842,0.845587,1772.550338,0.124088
P000147,7,19439.28,0.055815,1.041,20236.29048,0.611587,690.779744,0.035535
P000148,1,27306.45,0.510834,1.04,28398.708,0.857587,12441.04143,0.455608
P000149,4,25522.37,0.137211,0.995,25394.75815,0.611587,2131.039055,0.083497
P000150,10,13290.2,0.025353,1.027,13649.0354,0.845587,292.611958,0.022017
P000151,5,30585.24,0.085046,1.015,31044.0186,0.763587,2015.99446,0.065914
P000152,10,22336.28,0.030096,1.04,23229.7312,0.599587,419.182543,0.018767
P000153,5,18477.8,0.102985,1.04,19216.912,0.667587,1321.189285,0.071501
P000154,2,42413.84,0.248957,1.015,43050.0476,0.558587,5986.706441,0.14115
P000155,2,24907.32,0.274329,1.042,25953.42744,0.841587,5991.913324,0.240568
P000156,8,27952.8,0.053444,1.02,28511.856,0.719587,1096.506803,0.039227
P000157,9,69020.2,0.040877,0.995,68675.099,0.611587,1716.854788,0.024875
P000158,10,34834.18,0.036211,1.015,35356.6927,0.753587,964.806462,0.027697
P000159,2,21785.55,0.239683,1.032,22482.6876,0.640587,3451.938263,0.158451
P000160,10,15787.52,0.033781,1.037,16371.65824,0.507587,280.721049,0.017781
P000161,8,27643.7,0.048608,1.013,28003.0681,0.684587,931.844926,0.033709
P000162,10,28179.0,0.025472,1.027,28939.833,0.844587,622.590159,0.022094
P000163,9,26212.41,0.037761,0.98,25688.1618,0.599587,581.599813,0.022188
P000164,2,15307.6,0.294721,1.027,15720.9052,0.507587,2351.791913,0.153636
P000165,10,38018.43,0.036211,0.995,37828.33785,0.611587,837.744594,0.022035
P000166,10,52457.12,0.031623,1.04,54555.4048,0.753587,1300.074968,0.024784
P000167,7,33080.05,0.058487,0.995,32914.64975,0.719587,1385.253424,0.041876
P000168,10,20689.51,0.035016,0.995,20586.06245,0.719587,518.714627,0.025071
P000169,2,26970.84,0.215272,1.032,27833.90688,0.611587,3664.534294,0.13587
P000170,10,28782.6,0.031103,1.015,29214.339,0.558587,507.563723,0.017634
P000171,10,102773.38,0.026988,1.02,104828.8476,0.611587,1730.280484,0.016836
P000172,3,45691.83,0.188041,1.042,47610.88686,0.751587,6728.814958,0.147265
P000173,1,57912.78,0.456662,1.042,60345.11676,0.751587,20711.703572,0.357636
P000174,10,15815.2,0.032242,0.98,15498.896,0.643587,321.608351,0.020335
P000175,10,61168.63,0.033901,1.02,62392.0026,0.719587,1522.040165,0.024883
P000176,10,85737.34,0.030695,1.02,87452.0868,0.719587,1931.589521,0.022529
P000177,10,22309.08,0.032274,1.027,22911.42516,0.586587,433.748599,0.019443
P000178,1,17941.0,0.445004,1.04,18658.64,0.588587,4887.130083,0.2724
P000179,6,30749.28,0.078595,1.015,31210.5192,0.822587,2017.792322,0.065621
P000180,5,40137.24,0.088667,1.032,41421.63168,0.832587,3057.854691,0.076185
P000181,3,23207.98,0.15936,1.027,23834.59546,0.751587,2854.729833,0.123006
P000182,9,15283.2,0.039838,1.021,15604.1472,0.427587,265.807356,0.017392
P000183,1,23983.32,0.302647,1.024,24558.91968,0.348587,2590.931167,0.108031
P000184,4,74590.8,0.112162,1.013,75560.4804,0.667587,5657.782096,0.075851
P000185,1,27631.22,0.320032,1.041,28764.10002,0.719587,6624.104612,0.239733
P000186,1,14192.73,0.467894,0.98,13908.8754,0.599587,3902.039177,0.274932
P000187,10,37206.0,0.036795,1.02,37950.12,0.719587,1004.802873,0.027006
P000188,3,53818.24,0.145322,1.042,56078.60608,0.844587,6882.921997,0.127892
P000189,9,40725.3,0.038477,1.032,42028.5096,0.611587,989.022409,0.024285
P000190,8,44893.75,0.046998,1.037,46554.81875,0.586587,1283.439331,0.028588
P000191,3,25646.29,0.159867,1.04,26672.1416,0.588587,2509.730245,0.097859
P000192,6,30029.44,0.070499,1.037,31140.52928,0.558587,1226.312979,0.040837
P000193,6,22645.64,0.077989,1.027,23257.07228,0.672587,1219.927436,0.05387
P000194,10,66432.6,0.028973,1.013,67296.2238,0.667587,1301.658116,0.019594
P000195,2,47739.33,0.246545,1.042,49744.38186,0.679587,8334.618478,0.174586
P000196,7,107400.0,0.065396,1.015,109011.0,0.763587,5443.51127,0.050684
P000197,3,28489.4,0.175729,1.032,29401.0608,0.640587,3309.668854,0.116172
P000198,4,24599.34,0.133146,1.04,25583.3136,0.901587,3071.095709,0.124845
P000199,10,31723.68,0.033697,1.02,32358.1536,0.640587,698.486855,0.022018
P000200,5,40400.64,0.098107,1.04,42016.6656,0.667587,2751.868603,0.068114
P000201,7,30583.84,0.063605,1.038,31746.02592,0.679587,1372.235464,0.044868
P000202,3,28430.46,0.205676,1.04,29567.6784,0.763587,4643.642644,0.163333
P000203,2,64123.2,0.233547,1.002,64251.4464,0.841587,12628.630433,0.196943
P000204,2,57147.79,0.283235,1.038,59319.40602,0.762587,12812.479873,0.224199
P000205,2,95111.6,0.268258,1.002,95301.8232,0.751587,19214.660117,0.202022
P000206,3,23532.0,0.207055,1.04,24473.28,0.901587,4568.613087,0.194145
P000207,7,36356.39,0.05874,1.04,37810.6456,0.684587,1520.453218,0.041821
P000208,1,30930.9,0.500253,1.042,32229.9978,0.844587,13617.394588,0.440252
P000209,5,29079.88,0.096545,1.013,29457.91844,0.901587,2564.121988,0.088175
P000210,4,22208.34,0.11139,1.021,22674.71514,0.520587,1314.86159,0.059206
P000211,1,32242.0,0.302692,1.027,33112.534,0.600587,6019.625882,0.186701
P000212,6,63079.48,0.079586,1.038,65476.50024,0.923587,4812.818621,0.076298
P000213,1,7573.26,0.433025,1.04,7876.1904,0.857587,2924.876125,0.386211
P000214,4,82868.74,0.142626,1.032,85520.53968,0.915587,11167.794418,0.134765
P000215,6,20395.76,0.07634,1.04,21211.5904,0.832587,1348.198797,0.066102
P000216,9,15941.46,0.044671,1.04,16579.1184,0.857587,635.139167,0.039842
P000217,5,15187.5,0.10215,1.015,15415.3125,0.766587,1207.123327,0.079481
P000218,1,21530.88,0.47948,1.015,21853.8432,0.901587,9447.266778,0.438778
P000219,3,22708.26,0.168248,1.038,23571.17388,0.600587,2381.810805,0.104887
P000220,2,15679.12,0.239252,0.98,15365.5376,0.857587,3152.696346,0.201076
P000221,3,32667.02,0.200022,1.041,34006.36782,0.832587,5663.278101,0.173364
P000222,6,69591.9,0.081634,1.003,69800.6757,0.586587,3342.448873,0.048029
P000223,3,24487.21,0.146818,1.032,25270.80072,0.836587,3103.916141,0.126757
P000224,1,25206.92,0.327503,0.995,25080.8854,0.719587,5910.727774,0.234488
P000225,2,26719.7,0.235996,1.038,27735.0486,0.751587,4919.406395,0.184112
P000226,1,36362.2,0.302502,1.038,37743.9636,0.751587,8581.342553,0.235996
P000227,2,36230.74,0.261693,1.015,36774.2011,0.588587,5664.293067,0.156339
P000228,5,76466.27,0.088696,1.02,77995.5954,0.719587,4978.030249,0.065101
P000229,10,35471.6,0.034955,1.015,36003.674,0.637587,802.401818,0.022621
P000230,9,26865.23,0.042159,1.04,27939.8392,0.599587,706.262933,0.026289
P000231,10,41975.18,0.035788,0.995,41765.3041,0.915587,1368.535185,0.032603
P000232,1,20108.0,0.359487,1.038,20872.104,0.841587,6314.639274,0.314036
P000233,9,24253.5,0.043451,1.04,25223.64,0.427587,468.628989,0.019322
P000234,10,78070.68,0.016393,1.015,79241.7402,0.588587,764.56524,0.009793
P000235,3,18744.0,0.173487,1.015,19025.16,0.753587,2487.298777,0.132698
P000236,1,15657.4,0.585962,1.02,15970.548,0.915587,8568.177365,0.547229
P000237,1,17032.4,0.404916,0.995,16947.238,0.640587,4395.83753,0.258087
P000238,1,20785.6,0.336451,1.042,21658.5952,0.672587,4901.17014,0.235796
P000239,2,26103.45,0.279033,1.013,26442.79485,0.684587,5051.161834,0.193506
P000240,7,48780.1,0.06443,1.02,49755.702,0.719587,2306.838776,0.047291
P000241,8,29334.86,0.050475,1.042,30566.92412,0.844587,1303.086973,0.044421
P000242,3,36057.49,0.187411,1.042,37571.90458,0.841587,5925.935432,0.164347
P000243,6,16891.6,0.078497,1.032,17432.1312,0.915587,1252.866904,0.074171
P000244,10,39659.84,0.036741,0.98,38866.6432,0.427587,610.59111,0.015396
P000245,2,29410.71,0.22519,1.038,30528.31698,0.672587,4623.819621,0.157216
P000246,8,44918.32,0.053751,1.013,45502.25816,0.832587,2036.347157,0.045334
P000247,7,21035.38,0.05917,1.041,21897.83058,0.719587,932.360871,0.044323
P000248,10,29741.37,0.036475,1.04,30931.0248,0.763587,861.485684,0.028966
P000249,6,25676.0,0.077211,1.027,26369.252,0.841587,1713.470045,0.066734
P000250,1,24772.1,0.336677,1.042,25812.5282,0.679587,5905.946,0.238411
P000251,4,10364.2,0.137918,1.024,10612.9408,0.778587,1139.628493,0.109958
P000252,4,29067.15,0.122285,0.995,28921.81425,0.719587,2544.95896,0.087554
P000253,9,74423.37,0.037751,1.02,75911.8374,0.719587,2062.145052,0.027708
P000254,5,29541.78,0.084576,1.003,29630.40534,0.845587,2119.063668,0.071731
P000255,4,26462.94,0.119599,1.027,27177.43938,0.751587,2442.96317,0.092316
P000256,2,57024.24,0.285357,1.042,59419.25808,0.751587,12743.687944,0.223478
P000257,8,42544.32,0.047261,0.995,42331.5984,0.611587,1223.567739,0.02876
P000258,7,20010.48,0.058914,1.041,20830.90968,0.753587,924.833709,0.046217
P000259,3,76757.24,0.202476,1.04,79827.5296,0.763587,12341.963691,0.160792
P000260,4,61377.6,0.110469,1.042,63955.4592,0.600587,4243.204563,0.069133
P000261,6,9875.0,0.066884,1.021,10082.375,0.427587,288.343602,0.029199
P000262,6,26978.1,0.082402,1.042,28111.1802,0.679587,1574.206205,0.058351
P000263,2,39068.75,0.239837,1.04,40631.5,0.753587,7343.668538,0.187968
P000264,8,30571.2,0.053079,1.04,31794.048,0.427587,721.591823,0.023604
P000265,2,22969.44,0.21808,1.021,23451.79824,0.427587,2186.838132,0.095206
P000266,10,23803.2,0.036303,1.021,24303.0672,0.348587,307.551325,0.012921
P000267,10,32930.73,0.03303,1.027,33819.85971,0.637587,712.237835,0.021628
P000268,10,13583.7,0.030166,1.04,14127.048,0.857587,365.460761,0.026904
P000269,6,44512.5,0.080904,0.995,44289.9375,0.611587,2191.470558,0.049233
P000270,7,42814.72,0.060825,1.04,44527.3088,0.667587,1808.064667,0.04223
P000271,10,33047.1,0.029364,1.02,33708.042,0.915587,906.240634,0.027423
P000272,2,17190.8,0.261709,0.995,17104.846,0.719587,3221.223015,0.187381
P000273,6,11982.52,0.081358,1.021,12234.15292,0.599587,596.794224,0.049805
P000274,1,17688.36,0.479482,1.032,18254.38752,0.832587,7287.341697,0.411985
P000275,2,40581.0,0.212462,1.038,42123.078,0.679587,6082.004705,0.149873
P000276,8,26873.43,0.044838,1.015,27276.53145,0.586587,717.407247,0.026696
P000277,10,38072.65,0.034591,1.021,38872.17565,0.599587,806.229904,0.021176
P000278,6,46310.67,0.073543,1.027,47561.05809,0.586587,2051.762749,0.044304
P000279,9,21036.89,0.042782,1.015,21352.44335,0.763587,697.539204,0.033158
P000280,1,33701.61,0.337249,1.042,35117.07762,0.600587,7112.86947,0.211054
P000281,1,19956.2,0.329262,1.038,20714.5356,0.844587,5760.507691,0.288658
P000282,2,24440.27,0.220584,1.041,25442.32107,0.611587,3432.335497,0.140438
P000283,10,20762.28,0.032913,1.015,21073.7142,0.753587,522.679675,0.025174
P000284,8,20914.75,0.045062,1.003,20977.49425,0.637587,602.703642,0.028817
P000285,4,11299.2,0.127609,0.98,11073.216,0.599587,847.241222,0.074982
P000286,5,51124.65,0.085679,1.04,53169.636,0.832587,3792.886688,0.074189
P000287,1,21311.4,0.494147,1.042,22206.4788,0.844587,9267.881673,0.434879
P000288,1,20759.2,0.332827,1.038,21548.0496,0.672587,4823.64333,0.232362
P000289,10,25663.95,0.0368,1.021,26202.89295,0.427587,412.302477,0.016065
P000290,9,58547.19,0.04079,1.032,60420.70008,0.532587,1312.605548,0.02242
P000291,3,32996.49,0.199085,1.015,33491.43735,0.637587,4251.193146,0.128838
P000292,6,19644.58,0.078244,1.04,20430.3632,0.684587,1094.344023,0.055707
P000293,7,80972.1,0.062788,1.015,82186.6815,0.763587,3940.3528,0.048663
P000294,9,18710.16,0.040136,1.04,19458.5664,0.667587,521.382898,0.027866
P000295,10,44041.79,0.027825,1.015,44702.41685,0.901587,1121.450922,0.025463
P000296,5,36652.0,0.100514,1.042,38191.384,0.841587,3230.647038,0.088144
P000297,3,64822.68,0.150076,1.038,67285.94184,0.679587,6862.462416,0.105865
P000298,1,39793.6,0.419885,1.042,41464.9312,0.751587,13085.490599,0.328834
P000299,3,26248.0,0.189733,1.037,27219.176,0.558587,2884.750022,0.109904
P000300,1,29546.44,0.387003,1.041,30757.84404,0.832587,9910.593214,0.335424
P000301,10,25916.0,0.035565,1.015,26304.74,0.586587,548.766984,0.021175
P000302,7,17691.52,0.058296,1.021,18063.04192,0.599587,631.367107,0.035688
P000303,2,20451.6,0.233485,1.04,21269.664,0.763587,3792.080977,0.185417
P000304,9,43953.0,0.038271,1.032,45359.496,0.611587,1061.692723,0.024155
P000305,2,21729.58,0.293402,1.042,22642.22236,0.672587,4468.176921,0.205626
P000306,10,43707.51,0.033135,1.027,44887.61277,0.841587,1251.739762,0.028639
P000307,6,23149.98,0.074537,1.027,23775.02946,0.753587,1335.446891,0.057687
P000308,6,19950.84,0.074536,1.021,20369.80764,0.599587,910.337281,0.045629
P000309,3,30022.37,0.201694,1.032,30983.08584,0.611587,3821.868796,0.127301
P000310,6,33990.81,0.071294,1.04,35350.4424,0.763587,1924.438058,0.056616
P000311,5,87887.7,0.099537,1.032,90700.1064,0.611587,5521.436554,0.062824
P000312,9,67831.8,0.040587,1.04,70545.072,0.832587,2383.880471,0.035144
P000313,6,27700.36,0.070649,1.024,28365.16864,0.599587,1201.550169,0.043377
P000314,1,18260.0,0.396502,1.04,18990.4,0.753587,5674.304211,0.310751
P000315,5,56373.52,0.090643,1.038,58515.71376,0.679587,3604.548872,0.06394
P000316,1,8434.83,0.551065,1.04,8772.2232,0.643587,3111.141192,0.368845
P000317,4,69656.25,0.110071,1.027,71536.96875,0.751587,5918.105482,0.084962
P000318,4,34774.56,0.135358,1.027,35713.47312,0.679587,3285.203223,0.094471
P000319,9,60147.2,0.043386,1.027,61771.1744,0.679587,1821.289549,0.030281
P000320,6,57556.77,0.072498,1.038,59743.92726,0.841587,3645.154777,0.063331
P000321,3,17223.8,0.188943,1.02,17568.276,0.719587,2388.602419,0.13868
P000322,1,15532.0,0.448617,1.02,15842.64,0.915587,6507.334022,0.418963
P000323,2,19496.4,0.231762,1.013,19749.8532,0.901587,4126.808594,0.21167
P000324,10,52220.35,0.034741,1.037,54152.50295,0.637587,1199.505478,0.02297
P000325,2,56518.0,0.28121,1.04,58778.72,0.684587,11315.654943,0.200213
P000326,7,41554.26,0.056101,1.032,42883.99632,0.915587,2202.762217,0.053009
P000327,1,22078.98,0.340008,1.038,22917.98124,0.923587,7196.85501,0.32596
P000328,1,22435.01,0.387769,1.038,23287.54038,0.751587,6786.972617,0.302517
P000329,2,25756.02,0.233603,1.032,26580.21264,0.719587,4468.068709,0.173477
P000330,5,27083.84,0.090406,0.98,26542.1632,0.643587,1544.33184,0.05702
P000331,1,23488.92,0.471183,1.027,24123.12084,0.751587,8542.847125,0.363697
P000332,5,28696.78,0.097733,1.021,29299.41238,0.427587,1224.404534,0.042667
P000333,6,20855.82,0.0703,1.032,21523.20624,0.719587,1088.799895,0.052206
P000334,8,8325.0,0.050841,0.98,8158.5,0.427587,177.358837,0.021304
