id_proposta,faixa,pd_enquadramento,decisao,taxa_am,prazo_meses,pct_entrada_minima,pct_entrada_efetiva,valor_entrada,valor_financiado,ltv,idade_veiculo_anos,possui_avalista,pd_oferta
P000052,7,0.058717,APROVAR,0.0256,48,0.0,0.2612,10735.32,30364.68,0.7388,1,Não,0.058717
P000053,2,0.283418,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,9,Sim,0.231295
P000054,2,0.216861,NEGAR,0.035,60,0.21,0.2332,5130.4,16869.6,0.7668,1,Não,0.216861
P000055,5,0.096822,APROVAR,0.0282,60,0.21,0.2929,12448.25,30051.75,0.7071,1,Não,0.096822
P000056,2,0.211374,NEGAR,0.035,36,0.21,0.3152,10117.92,21982.08,0.6848,6,Não,0.211374
P000057,2,0.238434,NEGAR,0.035,60,0.21,0.21,8295.0,31205.0,0.79,7,Não,0.132581
P000058,1,0.353477,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,3,Sim,0.310528
P000059,2,0.215312,NEGAR,0.035,48,0.21,0.4634,10194.8,11805.2,0.5366,12,Sim,0.215312
P000060,10,0.031549,APROVAR,0.0227,60,0.0,0.1499,5456.36,30943.64,0.8501,1,Não,0.031549
P000061,3,0.147094,NEGAR,0.0336,36,0.21,0.21,4620.0,17380.0,0.79,3,Sim,0.137994
P000062,3,0.160493,NEGAR,0.0336,48,0.21,0.21,4620.0,17380.0,0.79,10,Não,0.160493
P000063,1,0.378096,NEGAR,0.035,60,0.21,0.21,6216.0,23384.0,0.79,1,Não,0.377682
P000064,3,0.148192,NEGAR,0.0336,24,0.21,0.21,10500.0,39500.0,0.79,1,Não,0.13279
P000065,8,0.046951,APROVAR,0.0247,36,0.0,0.1846,6128.72,27071.28,0.8154,10,Não,0.046951
P000066,3,0.17736,NEGAR,0.0336,24,0.21,0.3335,9571.45,19128.55,0.6665,3,Não,0.17736
P000067,2,0.269378,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,10,Não,0.134261
P000068,3,0.193931,NEGAR,0.0336,48,0.21,0.21,5061.0,19039.0,0.79,3,Não,0.193931
P000069,7,0.059586,APROVAR,0.0256,60,0.0,0.2087,4674.88,17725.12,0.7913,11,Não,0.059586
P000070,4,0.142371,NEGAR,0.0303,24,0.21,0.2901,6498.24,15901.76,0.7099,8,Não,0.142371
P000071,2,0.21004,NEGAR,0.035,60,0.21,0.3652,16470.52,28629.48,0.6348,4,Não,0.21004
P000072,10,0.023281,APROVAR,0.0227,36,0.0,0.3128,34282.88,75317.12,0.6872,5,Não,0.023281
P000073,1,0.439816,NEGAR,0.035,60,0.21,0.21,6993.0,26307.0,0.79,10,Não,0.438134
P000074,4,0.140503,NEGAR,0.0303,48,0.21,0.2124,12234.24,45365.76,0.7876,2,Não,0.140503
P000075,7,0.05576,APROVAR,0.0256,60,0.0,0.1566,11854.62,63845.38,0.8434,8,Não,0.05576
P000076,5,0.088682,APROVAR,0.0282,48,0.21,0.2524,13730.56,40669.44,0.7476,7,Sim,0.088682
P000077,3,0.150532,NEGAR,0.0336,36,0.21,0.2669,16040.69,44059.31,0.7331,12,Não,0.150532
P000078,2,0.272153,NEGAR,0.035,36,0.21,0.4196,11371.16,15728.84,0.5804,1,Sim,0.272153
P000079,6,0.07838,APROVAR,0.0265,36,0.21,0.21,9072.0,34128.0,0.79,6,Não,0.08109
P000080,4,0.134258,NEGAR,0.0303,60,0.21,0.2454,5398.8,16601.2,0.7546,12,Não,0.134258
P000081,8,0.045865,APROVAR,0.0247,60,0.0,0.1831,4028.2,17971.8,0.8169,3,Não,0.045865
P000082,3,0.208552,NEGAR,0.0336,36,0.21,0.3126,7033.5,15466.5,0.6874,8,Não,0.208552
P000083,2,0.237982,NEGAR,0.035,60,0.21,0.21,6363.0,23937.0,0.79,0,Não,0.255368
P000084,1,0.345161,NEGAR,0.035,48,0.21,0.21,5229.0,19671.0,0.79,2,Não,0.345258
P000085,10,0.030156,APROVAR,0.0227,36,0.0,0.173,14601.2,69798.8,0.827,3,Não,0.030156
P000086,1,0.345774,NEGAR,0.035,36,0.21,0.292,6424.0,15576.0,0.708,6,Não,0.345774
P000087,4,0.107406,NEGAR,0.0303,60,0.21,0.4852,33575.84,35624.16,0.5148,1,Não,0.107406
P000088,3,0.208252,NEGAR,0.0336,36,0.21,0.21,6237.0,23463.0,0.79,12,Sim,0.199553
P000089,7,0.056018,APROVAR,0.0256,24,0.0,0.3739,9945.74,16654.26,0.6261,5,Não,0.056018
P000090,10,0.032774,APROVAR,0.0227,24,0.0,0.3484,32296.68,60403.32,0.6516,4,Não,0.032774
P000091,5,0.103827,APROVAR,0.0282,48,0.21,0.2315,9213.7,30586.3,0.7685,4,Não,0.103827
P000092,9,0.038319,APROVAR,0.0236,48,0.0,0.1091,4516.74,36883.26,0.8909,4,Sim,0.038319
P000093,3,0.178534,NEGAR,0.0336,60,0.21,0.4056,12695.28,18604.72,0.5944,12,Não,0.178534
P000094,2,0.237883,NEGAR,0.035,60,0.21,0.619,32064.2,19735.8,0.381,10,Sim,0.237883
P000095,2,0.244996,NEGAR,0.035,24,0.21,0.2682,5900.4,16099.6,0.7318,2,Não,0.244996
P000096,3,0.203863,NEGAR,0.0336,60,0.21,0.2449,5779.64,17820.36,0.7551,12,Sim,0.203863
P000097,6,0.072711,APROVAR,0.0265,36,0.21,0.21,5670.0,21330.0,0.79,3,Não,0.077327
P000098,4,0.134084,NEGAR,0.0303,36,0.21,0.21,15309.0,57591.0,0.79,9,Não,0.057247
P000099,7,0.062621,APROVAR,0.0256,24,0.0,0.3032,8034.8,18465.2,0.6968,5,Não,0.062621
P000100,3,0.184663,NEGAR,0.0336,48,0.21,0.21,4620.0,17380.0,0.79,12,Não,0.136068
P000101,2,0.22562,NEGAR,0.035,48,0.21,0.2154,4738.8,17261.2,0.7846,1,Sim,0.22562
P000102,8,0.049585,APROVAR,0.0247,60,0.0,0.15,6885.0,39015.0,0.85,4,Não,0.049585
P000103,4,0.118942,NEGAR,0.0303,24,0.21,0.21,7791.0,29309.0,0.79,1,Sim,0.085779
P000104,5,0.098552,APROVAR,0.0282,24,0.21,0.21,10143.0,38157.0,0.79,2,Sim,0.092358
P000105,10,0.02933,APROVAR,0.0227,36,0.0,0.0881,2916.11,30183.89,0.9119,4,Sim,0.02933
P000106,3,0.155766,NEGAR,0.0336,36,0.21,0.21,4620.0,17380.0,0.79,2,Sim,0.157659
P000107,10,0.035873,APROVAR,0.0227,24,0.0,0.2208,4857.6,17142.4,0.7792,2,Não,0.035873
P000108,9,0.038308,APROVAR,0.0236,36,0.0,0.1753,9834.33,46265.67,0.8247,2,Não,0.038308
P000109,6,0.072542,APROVAR,0.0265,36,0.21,0.4179,18972.66,26427.34,0.5821,12,Sim,0.072542
P000110,5,0.097702,APROVAR,0.0282,60,0.21,0.3151,25302.53,54997.47,0.6849,1,Não,0.097702
P000111,2,0.239474,NEGAR,0.035,60,0.21,0.3663,10915.74,18884.26,0.6337,3,Sim,0.239474
P000112,3,0.181248,NEGAR,0.0336,24,0.21,0.2394,5266.8,16733.2,0.7606,12,Sim,0.181248
P000113,7,0.054213,APROVAR,0.0256,24,0.0,0.3416,19471.2,37528.8,0.6584,3,Não,0.054213
P000114,1,0.305302,NEGAR,0.035,24,0.21,0.2479,6247.08,18952.92,0.7521,3,Sim,0.305302
P000115,2,0.234752,NEGAR,0.035,60,0.21,0.21,8421.0,31679.0,0.79,12,Sim,0.202984
P000116,8,0.046105,APROVAR,0.0247,60,0.0,0.2817,15211.8,38788.2,0.7183,4,Não,0.046105
P000117,1,0.484981,NEGAR,0.035,60,0.21,0.21,9597.0,36103.0,0.79,3,Não,0.461046
P000118,10,0.033883,APROVAR,0.0227,60,0.0,0.1913,6274.64,26525.36,0.8087,2,Não,0.033883
P000119,6,0.081578,APROVAR,0.0265,60,0.21,0.4362,13609.44,17590.56,0.5638,2,Não,0.081578
P000120,2,0.241276,NEGAR,0.035,48,0.21,0.21,7245.0,27255.0,0.79,5,Sim,0.264704
P000121,2,0.233019,NEGAR,0.035,60,0.21,0.21,7329.0,27571.0,0.79,12,Sim,0.240975
P000122,2,0.214946,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,6,Não,0.16555
P000123,4,0.13731,NEGAR,0.0303,60,0.21,0.5969,13131.8,8868.2,0.4031,5,Não,0.13731
P000124,2,0.209805,NEGAR,0.035,60,0.21,0.21,8988.0,33812.0,0.79,2,Não,0.186063
P000125,8,0.048787,APROVAR,0.0247,24,0.0,0.3034,13349.6,30650.4,0.6966,5,Não,0.048787
P000126,7,0.066222,APROVAR,0.0256,48,0.0,0.3301,11586.51,23513.49,0.6699,3,Não,0.066222
P000127,5,0.092392,APROVAR,0.0282,36,0.21,0.21,6573.0,24727.0,0.79,0,Sim,0.060728
P000128,3,0.204363,NEGAR,0.0336,48,0.21,0.21,7728.0,29072.0,0.79,2,Não,0.217941
P000129,1,0.731792,NEGAR,0.035,60,0.21,0.4184,9832.4,13667.6,0.5816,5,Não,0.731792
P000130,10,0.032388,APROVAR,0.0227,36,0.0,0.75,36000.0,12000.0,0.25,3,Não,0.032388
P000131,3,0.173154,NEGAR,0.0336,48,0.21,0.21,5271.0,19829.0,0.79,12,Sim,0.173915
P000132,10,0.034934,APROVAR,0.0227,24,0.0,0.2352,15499.68,50400.32,0.7648,2,Não,0.034934
P000133,2,0.26994,NEGAR,0.035,48,0.21,0.3121,17571.23,38728.77,0.6879,5,Sim,0.26994
P000134,2,0.231701,NEGAR,0.035,36,0.21,0.2582,5680.4,16319.6,0.7418,3,Não,0.231701
P000135,7,0.058542,APROVAR,0.0256,60,0.0,0.6682,17373.2,8626.8,0.3318,10,Não,0.058542
P000136,2,0.235437,NEGAR,0.035,60,0.21,0.2824,8133.12,20666.88,0.7176,6,Não,0.235437
P000137,2,0.231857,NEGAR,0.035,24,0.21,0.21,4620.0,17380.0,0.79,1,Sim,0.161021
P000138,1,0.463088,NEGAR,0.035,48,0.21,0.21,5838.0,21962.0,0.79,2,Não,0.51231
P000139,3,0.148171,NEGAR,0.0336,36,0.21,0.21,10815.0,40685.0,0.79,2,Não,0.133569
P000140,3,0.207751,NEGAR,0.0336,36,0.21,0.21,11655.0,43845.0,0.79,5,Sim,0.207751
P000141,2,0.262038,NEGAR,0.035,60,0.21,0.21,8232.0,30968.0,0.79,8,Não,0.242057
P000142,4,0.11684,NEGAR,0.0303,36,0.21,0.2258,11357.74,38942.26,0.7742,12,Não,0.11684
P000143,5,0.096825,APROVAR,0.0282,60,0.21,0.6751,15729.83,7570.17,0.3249,2,Não,0.096825
P000144,1,0.540656,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,10,Sim,0.497386
P000145,6,0.073371,APROVAR,0.0265,36,0.21,0.2574,7155.72,20644.28,0.7426,8,Não,0.073371
P000146,3,0.14289,NEGAR,0.0336,48,0.21,0.3507,7715.4,14284.6,0.6493,12,Não,0.14289
P000147,7,0.055815,APROVAR,0.0256,60,0.0,0.2552,6660.72,19439.28,0.7448,1,Não,0.055815
P000148,1,0.510834,NEGAR,0.035,60,0.21,0.5167,29193.55,27306.45,0.4833,9,Não,0.510834
P000149,4,0.137211,NEGAR,0.0303,24,0.21,0.2687,9377.63,25522.37,0.7313,2,Não,0.137211
P000150,10,0.025353,APROVAR,0.0227,48,0.0,0.3959,8709.8,13290.2,0.6041,12,Não,0.025353
P000151,5,0.085046,APROVAR,0.0282,36,0.21,0.21,7791.0,29309.0,0.79,3,Não,0.085269
P000152,10,0.030096,APROVAR,0.0227,60,0.0,0.4877,21263.72,22336.28,0.5123,5,Não,0.030096
P000153,5,0.102985,APROVAR,0.0282,60,0.21,0.21,4620.0,17380.0,0.79,1,Não,0.103055
P000154,2,0.248957,NEGAR,0.035,36,0.21,0.3192,19886.16,42413.84,0.6808,3,Sim,0.248957
P000155,2,0.274329,NEGAR,0.035,60,0.21,0.21,5418.0,20382.0,0.79,6,Não,0.231716
P000156,8,0.053444,APROVAR,0.0247,36,0.0,0.2644,10047.2,27952.8,0.7356,5,Não,0.053444
P000157,9,0.040877,APROVAR,0.0236,24,0.0,0.203,17579.8,69020.2,0.797,1,Não,0.040877
P000158,10,0.036211,APROVAR,0.0227,36,0.0,0.3878,22065.82,34834.18,0.6122,8,Não,0.036211
P000159,2,0.239683,NEGAR,0.035,48,0.21,0.2995,9314.45,21785.55,0.7005,4,Sim,0.239683
P000160,10,0.033781,APROVAR,0.0227,60,0.0,0.3833,9812.48,15787.52,0.6167,2,Sim,0.033781
P000161,8,0.048608,APROVAR,0.0247,24,0.0,0.1415,4556.3,27643.7,0.8585,5,Sim,0.048608
P000162,10,0.025472,APROVAR,0.0227,36,0.0,0.0607,1821.0,28179.0,0.9393,12,Sim,0.025472
P000163,9,0.037761,APROVAR,0.0236,24,0.0,0.4411,20687.59,26212.41,0.5589,5,Não,0.037761
P000164,2,0.294721,NEGAR,0.035,48,0.21,0.3042,6692.4,15307.6,0.6958,2,Sim,0.294721
P000165,10,0.036211,APROVAR,0.0227,24,0.0,0.2589,13281.57,38018.43,0.7411,1,Não,0.036211
P000166,10,0.031623,APROVAR,0.0227,60,0.0,0.1139,6742.88,52457.12,0.8861,6,Sim,0.031623
P000167,7,0.058487,APROVAR,0.0256,24,0.0,0.2105,8819.95,33080.05,0.7895,4,Não,0.058487
P000168,10,0.035016,APROVAR,0.0227,24,0.0,0.2841,8210.49,20689.51,0.7159,3,Não,0.035016
P000169,2,0.215272,NEGAR,0.035,48,0.21,0.2316,8129.16,26970.84,0.7684,1,Não,0.215272
P000170,10,0.031103,APROVAR,0.0227,36,0.0,0.3147,13217.4,28782.6,0.6853,4,Sim,0.031103
P000171,10,0.026988,APROVAR,0.0227,36,0.0,0.2858,41126.62,102773.38,0.7142,0,Não,0.026988
P000172,3,0.188041,NEGAR,0.0336,60,0.21,0.21,10017.0,37683.0,0.79,4,Não,0.122538
P000173,1,0.456662,NEGAR,0.035,60,0.21,0.21,12978.0,48822.0,0.79,3,Não,0.386775
P000174,10,0.032242,APROVAR,0.0227,24,0.0,0.4032,10684.8,15815.2,0.5968,8,Não,0.032242
P000175,10,0.033901,APROVAR,0.0227,36,0.0,0.2829,24131.37,61168.63,0.7171,4,Não,0.033901
P000176,10,0.030695,APROVAR,0.0227,36,0.0,0.2054,22162.66,85737.34,0.7946,3,Não,0.030695
P000177,10,0.032274,APROVAR,0.0227,48,0.0,0.3698,13090.92,22309.08,0.6302,2,Não,0.032274
P000178,1,0.445004,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,2,Sim,0.445004
P000179,6,0.078595,APROVAR,0.0265,36,0.21,0.21,7308.0,27492.0,0.79,9,Sim,0.088843
P000180,5,0.088667,APROVAR,0.0282,48,0.21,0.2983,17062.76,40137.24,0.7017,8,Não,0.088667
P000181,3,0.15936,NEGAR,0.0336,36,0.21,0.21,5334.0,20066.0,0.79,4,Não,0.157457
P000182,9,0.039838,APROVAR,0.0236,36,0.0,0.5224,16716.8,15283.2,0.4776,1,Não,0.039838
P000183,1,0.302647,NEGAR,0.035,48,0.21,0.4034,16216.68,23983.32,0.5966,2,Sim,0.302647
P000184,4,0.112162,NEGAR,0.0303,24,0.21,0.21,19215.0,72285.0,0.79,1,Não,0.113434
P000185,1,0.320032,NEGAR,0.035,60,0.21,0.2987,11768.78,27631.22,0.7013,3,Não,0.320032
P000186,1,0.467894,NEGAR,0.035,24,0.21,0.4913,13707.27,14192.73,0.5087,4,Não,0.467894
P000187,10,0.036795,APROVAR,0.0227,36,0.0,0.22,10494.0,37206.0,0.78,4,Não,0.036795
P000188,3,0.145322,NEGAR,0.0336,60,0.21,0.21,12054.0,45346.0,0.79,12,Sim,0.114286
P000189,9,0.038477,APROVAR,0.0236,48,0.0,0.2905,16674.7,40725.3,0.7095,1,Não,0.038477
P000190,8,0.046998,APROVAR,0.0247,60,0.0,0.3125,20406.25,44893.75,0.6875,2,Não,0.046998
P000191,3,0.159867,NEGAR,0.0336,48,0.21,0.21,6153.0,23147.0,0.79,2,Sim,0.167354
P000192,6,0.070499,APROVAR,0.0265,60,0.21,0.3297,14770.56,30029.44,0.6703,3,Sim,0.070499
P000193,6,0.077989,APROVAR,0.0265,36,0.21,0.21,5124.0,19276.0,0.79,5,Sim,0.077468
P000194,10,0.028973,APROVAR,0.0227,24,0.0,0.1316,10067.4,66432.6,0.8684,1,Não,0.028973
P000195,2,0.246545,NEGAR,0.035,60,0.21,0.21,10479.0,39421.0,0.79,1,Não,0.21317
P000196,7,0.065396,APROVAR,0.0256,36,0.0,0.1408,17600.0,107400.0,0.8592,5,Não,0.065396
P000197,3,0.175729,NEGAR,0.0336,48,0.21,0.213,7710.6,28489.4,0.787,3,Sim,0.175729
P000198,4,0.133146,NEGAR,0.0303,48,0.21,0.21,6426.0,24174.0,0.79,12,Não,0.133146
P000199,10,0.033697,APROVAR,0.0227,36,0.0,0.2518,10676.32,31723.68,0.7482,3,Sim,0.033697
P000200,5,0.098107,APROVAR,0.0282,60,0.21,0.21,10521.0,39579.0,0.79,2,Não,0.082309
P000201,7,0.063605,APROVAR,0.0256,48,0.0,0.0788,2616.16,30583.84,0.9212,1,Não,0.063605
P000202,3,0.205676,NEGAR,0.0336,48,0.21,0.21,6846.0,25754.0,0.79,5,Não,0.254856
P000203,2,0.233547,NEGAR,0.035,24,0.21,0.21,13797.0,51903.0,0.79,6,Não,0.153205
P000204,2,0.283235,NEGAR,0.035,48,0.21,0.21,13083.0,49217.0,0.79,8,Sim,0.271518
P000205,2,0.268258,NEGAR,0.035,24,0.21,0.21,20685.0,77815.0,0.79,5,Não,0.185474
P000206,3,0.207055,NEGAR,0.0336,48,0.21,0.21,5565.0,20935.0,0.79,9,Não,0.22655
P000207,7,0.05874,APROVAR,0.0256,60,0.0,0.1197,4943.61,36356.39,0.8803,5,Sim,0.05874
P000208,1,0.500253,NEGAR,0.035,60,0.21,0.21,6930.0,26070.0,0.79,12,Sim,0.500812
P000209,5,0.096545,APROVAR,0.0282,24,0.21,0.21,6972.0,26228.0,0.79,12,Não,0.105284
P000210,4,0.11139,NEGAR,0.0303,36,0.21,0.4687,19591.66,22208.34,0.5313,5,Sim,0.11139
P000211,1,0.302692,NEGAR,0.035,36,0.21,0.21,6909.0,25991.0,0.79,1,Sim,0.230055
P000212,6,0.079586,APROVAR,0.0265,48,0.21,0.21,13839.0,52061.0,0.79,12,Não,0.052009
P000213,1,0.433025,NEGAR,0.035,60,0.21,0.6649,15026.74,7573.26,0.3351,11,Não,0.433025
P000214,4,0.142626,NEGAR,0.0303,48,0.21,0.2819,32531.26,82868.74,0.7181,12,Não,0.142626
P000215,6,0.07634,APROVAR,0.0265,60,0.21,0.21,5082.0,19118.0,0.79,8,Não,0.07634
P000216,9,0.044671,APROVAR,0.0236,60,0.0,0.4347,12258.54,15941.46,0.5653,10,Não,0.044671
P000217,5,0.10215,APROVAR,0.0282,36,0.21,0.375,9112.5,15187.5,0.625,11,Sim,0.10215
P000218,1,0.47948,NEGAR,0.035,36,0.21,0.21,5292.0,19908.0,0.79,12,Não,0.395907
P000219,3,0.168248,NEGAR,0.0336,48,0.21,0.21,5166.0,19434.0,0.79,0,Sim,0.158925
P000220,2,0.239252,NEGAR,0.035,24,0.21,0.4703,13920.88,15679.12,0.5297,11,Não,0.239252
P000221,3,0.200022,NEGAR,0.0336,60,0.21,0.2259,9532.98,32667.02,0.7741,7,Não,0.200022
P000222,6,0.081634,APROVAR,0.0265,24,0.21,0.3586,38908.1,69591.9,0.6414,2,Não,0.081634
P000223,3,0.146818,NEGAR,0.0336,48,0.21,0.2819,9612.79,24487.21,0.7181,10,Sim,0.146818
P000224,1,0.327503,NEGAR,0.035,24,0.21,0.2196,7093.08,25206.92,0.7804,5,Não,0.327503
P000225,2,0.235996,NEGAR,0.035,48,0.21,0.21,6027.0,22673.0,0.79,3,Não,0.205087
P000226,1,0.302502,NEGAR,0.035,48,0.21,0.21,7980.0,30020.0,0.79,3,Não,0.198155
P000227,2,0.261693,NEGAR,0.035,36,0.21,0.21,9282.0,34918.0,0.79,2,Sim,0.236178
P000228,5,0.088696,APROVAR,0.0282,36,0.21,0.2793,29633.73,76466.27,0.7207,4,Não,0.088696
P000229,10,0.034955,APROVAR,0.0227,36,0.0,0.3755,21328.4,35471.6,0.6245,4,Não,0.034955
P000230,9,0.042159,APROVAR,0.0236,60,0.0,0.4659,23434.77,26865.23,0.5341,4,Não,0.042159
P000231,10,0.035788,APROVAR,0.0227,24,0.0,0.2837,16624.82,41975.18,0.7163,12,Não,0.035788
P000232,1,0.359487,NEGAR,0.035,48,0.21,0.21,4620.0,17380.0,0.79,6,Não,0.335532
P000233,9,0.043451,APROVAR,0.0236,60,0.0,0.445,19446.5,24253.5,0.555,1,Não,0.043451
P000234,10,0.016393,APROVAR,0.0227,36,0.0,0.1477,13529.32,78070.68,0.8523,1,Sim,0.016393
P000235,3,0.173487,NEGAR,0.0336,36,0.21,0.21,4620.0,17380.0,0.79,6,Sim,0.18379
P000236,1,0.585962,NEGAR,0.035,36,0.21,0.2883,6342.6,15657.4,0.7117,10,Não,0.585962
P000237,1,0.404916,NEGAR,0.035,24,0.21,0.2258,4967.6,17032.4,0.7742,5,Sim,0.404916
P000238,1,0.336451,NEGAR,0.035,60,0.21,0.21,4620.0,17380.0,0.79,5,Sim,0.263492
P000239,2,0.279033,NEGAR,0.035,24,0.21,0.21,6363.0,23937.0,0.79,4,Sim,0.305607
P000240,7,0.06443,APROVAR,0.0256,36,0.0,0.239,15319.9,48780.1,0.761,5,Não,0.06443
P000241,8,0.050475,APROVAR,0.0247,60,0.0,0.0918,2965.14,29334.86,0.9082,12,Sim,0.050475
